Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,4,18,<=6,5,1,-1.26840689240737e-06,5.9262,28.8313,4.87,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed0
Non-Contiguous Random,0,4,18,<=6,5,1,-3.0978580304874548e-06,8.2479,28.5541,3.46,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed0
Contiguous Random,1,2,10,<=6,5,17,0.08228859689290163,5.4111,27.8335,5.14,50,1,0.0909,1,0.0513,1,0.034,xenium_human_lymph_node_seed0
Non-Contiguous Random,1,2,10,<=6,5,1,1.288490463352554e-06,7.3325,28.089,3.83,50,1,0.2143,1,0.12,1,0.0384,xenium_human_lymph_node_seed0
Contiguous Random,2,3,2,<=6,4,2,0.05492,5.4914,24.9217,4.54,50,1,0.4,1,0.4643,1,0.269,xenium_human_lymph_node_seed0
Non-Contiguous Random,2,3,2,<=6,4,1,0.0,5.303,25.0587,4.73,50,1,1.0,1,0.8824,1,0.5714,xenium_human_lymph_node_seed0
Contiguous Random,3,4,0,<=6,4,1,0.0,4.9581,24.0004,4.84,50,1,0.6545,1,0.4615,1,0.1738,xenium_human_lymph_node_seed0
Non-Contiguous Random,3,4,0,<=6,4,1,0.0,4.5953,23.6943,5.16,50,1,0.07,1,0.07,1,0.07,xenium_human_lymph_node_seed0
Contiguous Random,4,4,14,<=6,4,3,0.06307701528549195,8.182,25.9297,3.17,50,1,0.2222,1,0.1358,1,0.0462,xenium_human_lymph_node_seed0
Non-Contiguous Random,4,4,14,<=6,4,4,0.10102415177345275,7.3577,26.172,3.56,50,1,0.2,1,0.2353,1,0.1695,xenium_human_lymph_node_seed0
Contiguous Random,5,0,7,<=6,5,5,0.08048425108021481,5.931,28.0819,4.73,50,1,0.25,1,0.2105,1,0.2487,xenium_human_lymph_node_seed0
Non-Contiguous Random,5,0,7,<=6,5,1,3.53336808467386e-06,5.7014,27.7773,4.87,50,1,0.8333,1,0.7333,1,0.402,xenium_human_lymph_node_seed0
Contiguous Random,6,4,11,<=6,5,1,-7.520264126981147e-07,5.9555,28.0637,4.71,50,1,1.0,1,1.0,1,0.9412,xenium_human_lymph_node_seed0
Non-Contiguous Random,6,4,11,<=6,5,1,3.376744590125047e-06,6.6241,28.0148,4.23,50,1,1.0,1,1.0,1,0.549,xenium_human_lymph_node_seed0
Contiguous Random,7,4,11,<=6,5,1,3.572845861277152e-06,7.1194,28.0249,3.94,50,1,1.0,1,1.0,1,0.8095,xenium_human_lymph_node_seed0
Non-Contiguous Random,7,4,11,<=6,5,1,1.8357241463595741e-06,5.8315,27.9796,4.8,50,1,0.5,1,0.3636,1,0.127,xenium_human_lymph_node_seed0
Contiguous Random,8,0,18,<=6,4,2,0.027391487760543815,7.3553,26.1005,3.55,50,1,0.4,1,0.2237,1,0.0732,xenium_human_lymph_node_seed0
Non-Contiguous Random,8,0,18,<=6,4,4,0.022651989932060246,6.3771,26.2707,4.12,50,1,0.1667,1,0.1852,1,0.082,xenium_human_lymph_node_seed0
Contiguous Random,9,4,11,<=6,5,1,-3.191025056997754e-06,6.9744,27.8907,4.0,50,1,0.4118,1,0.1461,1,0.0486,xenium_human_lymph_node_seed0
Non-Contiguous Random,9,4,11,<=6,5,4,0.06320579405753096,6.0973,28.0398,4.6,50,1,0.1429,1,0.092,1,0.0515,xenium_human_lymph_node_seed0
Contiguous Random,10,3,8,<=6,6,1,1.22262255153327e-06,6.1928,30.0481,4.85,50,1,0.5,1,0.6296,1,0.6049,xenium_human_lymph_node_seed0
Non-Contiguous Random,10,3,8,<=6,6,1,-8.379044584838624e-07,6.85,30.1397,4.4,50,1,1.0,1,0.8421,1,0.3433,xenium_human_lymph_node_seed0
Contiguous Random,11,2,8,<=6,6,1,1.6055361036770854e-06,7.3244,30.0975,4.11,50,1,0.1111,1,0.06,1,0.0633,xenium_human_lymph_node_seed0
Non-Contiguous Random,11,2,8,<=6,6,2,0.033407635696193705,7.8357,29.7063,3.79,50,1,0.2174,1,0.1731,1,0.06,xenium_human_lymph_node_seed0
Contiguous Random,12,4,7,<=6,4,2,0.018716040644645687,4.4066,25.3609,5.76,50,1,0.4444,1,0.381,1,0.1311,xenium_human_lymph_node_seed0
Non-Contiguous Random,12,4,7,<=6,4,5,0.18421472478151324,4.9717,25.433,5.12,50,0,0.0,1,0.3333,1,0.144,xenium_human_lymph_node_seed0
Contiguous Random,13,4,10,<=6,4,4,0.09436827649354934,5.2388,25.7691,4.92,50,1,0.4444,1,0.5217,1,0.3308,xenium_human_lymph_node_seed0
Non-Contiguous Random,13,4,10,<=6,4,47,0.5307528223466873,7.0546,25.8155,3.66,50,0,0.0,0,0.0,1,0.0604,xenium_human_lymph_node_seed0
Contiguous Random,14,1,15,<=6,6,1,2.7760336541171604e-06,7.9967,30.4794,3.81,50,1,0.5,1,0.7143,1,0.5918,xenium_human_lymph_node_seed0
Non-Contiguous Random,14,1,15,<=6,6,4,0.20240123090462597,7.8824,30.322,3.85,50,0,0.0,1,0.5,1,0.433,xenium_human_lymph_node_seed0
Contiguous Random,15,3,13,<=6,6,24,0.16662443924556897,7.9258,30.4841,3.85,50,0,0.0,1,0.0426,1,0.0386,xenium_human_lymph_node_seed0
Non-Contiguous Random,15,3,13,<=6,6,1,-4.484202234866785e-06,9.9959,30.2311,3.02,50,1,0.9,1,0.8,1,0.7358,xenium_human_lymph_node_seed0
Contiguous Random,16,4,5,<=6,5,1,2.9626435966156883e-06,7.2671,27.1149,3.73,50,1,1.0,1,0.6667,1,0.5238,xenium_human_lymph_node_seed0
Non-Contiguous Random,16,4,5,<=6,5,1,-2.4516683474473666e-06,5.247,26.8784,5.12,50,1,0.7143,1,0.6538,1,0.3952,xenium_human_lymph_node_seed0
Contiguous Random,17,0,14,<=6,6,4,0.07418494758222688,6.7116,30.8476,4.6,50,1,0.0851,1,0.0476,1,0.0359,xenium_human_lymph_node_seed0
Non-Contiguous Random,17,0,14,<=6,6,8,0.07905237485148436,7.7708,30.8939,3.98,50,1,0.0678,1,0.0664,1,0.0432,xenium_human_lymph_node_seed0
Contiguous Random,18,1,11,<=6,4,2,0.03977832552909849,7.5527,26.1934,3.47,50,1,0.3333,1,0.1803,1,0.0498,xenium_human_lymph_node_seed0
Non-Contiguous Random,18,1,11,<=6,4,1,-2.663516998291371e-06,9.0591,25.8136,2.85,50,1,1.0,1,0.9231,1,0.1959,xenium_human_lymph_node_seed0
Contiguous Random,19,2,6,<=6,4,1,3.3794593811142803e-06,4.5473,25.2624,5.56,50,1,0.3333,1,0.4348,1,0.3106,xenium_human_lymph_node_seed0
Non-Contiguous Random,19,2,6,<=6,4,1,-4.967608451846017e-06,4.5456,25.1549,5.53,50,1,0.6,1,0.5652,1,0.3228,xenium_human_lymph_node_seed0
Contiguous Random,20,0,12,<=6,4,5,0.051852697353363064,6.3626,25.9057,4.07,50,1,0.2857,1,0.1304,1,0.0773,xenium_human_lymph_node_seed0
Non-Contiguous Random,20,0,12,<=6,4,2,0.13277011456966398,5.5888,25.7416,4.61,50,0,0.0,1,0.5,1,0.3256,xenium_human_lymph_node_seed0
Contiguous Random,21,3,6,<=6,6,4,0.012154183940384089,7.0116,29.6222,4.22,50,1,0.3421,1,0.287,1,0.2538,xenium_human_lymph_node_seed0
Non-Contiguous Random,21,3,6,<=6,6,1,-2.6193158425835694e-06,7.1539,29.1102,4.07,50,1,0.4286,1,0.275,1,0.2759,xenium_human_lymph_node_seed0
Contiguous Random,22,3,11,<=6,6,1,-3.7749364492634108e-06,10.0876,30.5285,3.03,50,1,0.3333,1,0.1667,1,0.0833,xenium_human_lymph_node_seed0
Non-Contiguous Random,22,3,11,<=6,6,2,0.03303037110382595,8.1669,30.6832,3.76,50,1,0.6667,1,0.2,1,0.0538,xenium_human_lymph_node_seed0
Contiguous Random,23,0,4,<=6,4,3,0.01353938646093011,4.3162,24.7497,5.73,50,1,0.5,1,0.3333,1,0.3222,xenium_human_lymph_node_seed0
Non-Contiguous Random,23,0,4,<=6,4,1,-3.869572877884114e-06,4.033,24.602,6.1,50,1,1.0,1,0.8,1,0.6269,xenium_human_lymph_node_seed0
Contiguous Random,24,1,6,<=6,5,1,-1.6073335259714217e-06,4.5717,27.1619,5.94,50,1,0.1,1,0.1385,1,0.0742,xenium_human_lymph_node_seed0
Non-Contiguous Random,24,1,6,<=6,5,2,0.07147413293741978,7.824,26.8748,3.43,50,1,0.6,1,0.2857,1,0.0741,xenium_human_lymph_node_seed0
Contiguous Random,25,1,8,<=6,4,2,0.014870603041052817,4.8355,25.126,5.2,50,1,0.5,1,0.6429,1,0.4286,xenium_human_lymph_node_seed0
Non-Contiguous Random,25,1,8,<=6,4,16,0.07750253095149995,6.3846,30.5499,4.78,50,1,0.1351,1,0.0786,1,0.0444,xenium_human_lymph_node_seed0
Contiguous Random,26,0,7,<=6,4,2,0.00553143946647644,4.8724,25.4672,5.23,50,1,0.2692,1,0.1429,1,0.0668,xenium_human_lymph_node_seed0
Non-Contiguous Random,26,0,7,<=6,4,1,-1.8565416335936114e-06,5.9138,25.0698,4.24,50,1,1.0,1,0.75,1,0.4179,xenium_human_lymph_node_seed0
Contiguous Random,27,4,10,<=6,4,22,0.21041023992538455,7.5017,25.2108,3.36,50,0,0.0,1,0.0217,1,0.0469,xenium_human_lymph_node_seed0
Non-Contiguous Random,27,4,10,<=6,4,7,0.06855137028694153,5.6707,25.4137,4.48,50,1,0.1364,1,0.1161,1,0.057,xenium_human_lymph_node_seed0
Contiguous Random,28,4,10,<=6,4,3,0.14464147320747378,6.683,25.4047,3.8,50,0,0.0,1,0.2222,1,0.0694,xenium_human_lymph_node_seed0
Non-Contiguous Random,28,4,10,<=6,4,5,0.15711675632476807,6.7866,25.3694,3.74,50,0,0.0,1,0.0667,1,0.0805,xenium_human_lymph_node_seed0
Contiguous Random,29,1,0,<=6,6,1,0.0,5.0965,25.3249,4.97,50,1,0.1027,1,0.1027,1,0.1027,xenium_human_lymph_node_seed0
Non-Contiguous Random,29,1,0,<=6,6,1,3.112257980011912e-06,6.3254,25.7727,4.07,50,1,1.0,1,1.0,1,0.9434,xenium_human_lymph_node_seed0
Contiguous Random,30,3,14,<=6,4,1,-2.9057598113779726e-06,7.2757,26.2465,3.61,50,1,0.2222,1,0.1626,1,0.0572,xenium_human_lymph_node_seed0
Non-Contiguous Random,30,3,14,<=6,4,3,0.046351496624946587,5.8532,26.1148,4.46,50,1,0.0769,1,0.0667,1,0.0273,xenium_human_lymph_node_seed0
Contiguous Random,31,2,11,<=6,6,28,0.11978926366460779,6.1303,30.3446,4.95,50,1,0.0588,1,0.0424,1,0.0311,xenium_human_lymph_node_seed0
Non-Contiguous Random,31,2,11,<=6,6,1,-1.383787923914248e-06,8.7145,30.1049,3.45,50,1,0.5,1,0.213,1,0.0413,xenium_human_lymph_node_seed0
Contiguous Random,32,2,8,<=6,5,5,0.10027392962522608,8.695,27.5332,3.17,50,1,0.25,1,0.1912,1,0.06,xenium_human_lymph_node_seed0
Non-Contiguous Random,32,2,8,<=6,5,13,0.19934089372568387,6.3065,27.4119,4.35,50,0,0.0,1,0.0435,1,0.0683,xenium_human_lymph_node_seed0
Contiguous Random,33,0,1,<=6,6,1,-1.0798112571180907e-06,6.2075,27.04,4.36,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed0
Non-Contiguous Random,33,0,1,<=6,6,1,4.294151596445639e-06,6.4201,26.6583,4.15,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed0
Contiguous Random,34,0,5,<=6,6,1,-4.544827008789998e-06,6.6158,29.1691,4.41,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed0
