query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
30,97,cross_modal_brca_x2v_seed3,19.3563,1485.6129,76.75,121.1998,121.1998,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
31,98,cross_modal_brca_x2v_seed3,19.4579,1482.7905,76.21,121.7333,121.7333,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
32,106,cross_modal_brca_x2v_seed3,19.7576,1492.6254,75.55,119.0004,119.0004,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
33,110,cross_modal_brca_x2v_seed3,19.873,1492.0248,75.08,117.8387,117.8387,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
34,116,cross_modal_brca_x2v_seed3,19.7678,1497.1084,75.73,117.8568,117.8568,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
35,119,cross_modal_brca_x2v_seed3,19.465,1487.2308,76.41,120.1396,120.1396,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
36,122,cross_modal_brca_x2v_seed3,19.5587,1479.0361,75.62,120.809,120.809,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
37,133,cross_modal_brca_x2v_seed3,19.8361,1510.3275,76.14,120.0157,120.0157,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
38,135,cross_modal_brca_x2v_seed3,19.5926,1486.7148,75.88,121.2677,121.2677,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
39,138,cross_modal_brca_x2v_seed3,19.3829,1487.8189,76.76,121.1718,121.1718,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
40,140,cross_modal_brca_x2v_seed3,19.4655,1494.312,76.77,121.4935,121.4935,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
41,141,cross_modal_brca_x2v_seed3,19.713,1499.3833,76.06,121.1555,121.1555,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
42,144,cross_modal_brca_x2v_seed3,19.7557,1508.6522,76.37,119.0715,119.0715,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
43,146,cross_modal_brca_x2v_seed3,19.7265,1507.6824,76.43,118.9658,118.9658,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
44,147,cross_modal_brca_x2v_seed3,19.6734,1500.3432,76.26,119.6742,119.6742,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
45,150,cross_modal_brca_x2v_seed3,19.3634,1487.7603,76.83,119.7895,119.7895,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
46,151,cross_modal_brca_x2v_seed3,19.8212,1495.8755,75.47,118.5092,118.5092,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
47,152,cross_modal_brca_x2v_seed3,19.4666,1491.3995,76.61,121.1988,121.1988,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
48,153,cross_modal_brca_x2v_seed3,19.7375,1489.4947,75.47,118.6117,118.6117,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
49,154,cross_modal_brca_x2v_seed3,19.7983,1484.513,74.98,119.1505,119.1505,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
