Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,15,2,14,<=6,4,1,3.711471557615864e-06,4.4522,19.5526,4.39,50,1,0.7778,1,0.7667,1,0.8163,xenium_human_breast_cancer_seed4
Contiguous Random,16,2,10,<=6,4,26,0.1774499110412598,3.855,20.1636,5.23,50,0,0.0,1,0.0125,1,0.0122,xenium_human_breast_cancer_seed4
Non-Contiguous Random,16,2,10,<=6,4,46,0.2100918251228332,3.8451,20.2141,5.26,50,0,0.0,1,0.0115,1,0.0077,xenium_human_breast_cancer_seed4
Contiguous Random,17,3,5,<=6,6,1,1.8218869649588854e-06,4.913,22.7816,4.64,50,1,0.1333,1,0.0893,1,0.1077,xenium_human_breast_cancer_seed4
Non-Contiguous Random,17,3,5,<=6,6,1,1.9429851937369236e-06,5.9479,22.4643,3.78,50,1,0.6667,1,0.5806,1,0.5053,xenium_human_breast_cancer_seed4
Contiguous Random,18,1,1,<=6,5,1,4.904804938449248e-06,4.6906,20.2763,4.32,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,18,1,1,<=6,5,1,-2.261469948194872e-06,5.0645,19.9274,3.93,50,1,1.0,1,0.95,1,0.7586,xenium_human_breast_cancer_seed4
Contiguous Random,19,0,1,<=6,5,1,3.8043911959675936e-06,4.6912,19.8527,4.23,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,19,0,1,<=6,5,1,-1.2480315867147151e-06,4.3486,20.0227,4.6,50,1,0.9286,1,0.7917,1,0.7917,xenium_human_breast_cancer_seed4
Contiguous Random,20,2,15,<=6,5,3,0.12513689388367144,4.7576,24.6522,5.18,50,1,0.3333,1,0.25,1,0.0632,xenium_human_breast_cancer_seed4
Non-Contiguous Random,20,2,15,<=6,5,5,0.1716558798358223,5.2865,21.8703,4.14,50,1,0.125,1,0.0435,1,0.0316,xenium_human_breast_cancer_seed4
Contiguous Random,21,1,10,<=6,5,7,0.15074881167000576,5.0417,21.6538,4.29,50,1,0.2727,1,0.4286,1,0.253,xenium_human_breast_cancer_seed4
Non-Contiguous Random,21,1,10,<=6,5,7,0.15074881167000576,4.9306,21.6575,4.39,50,1,0.2727,1,0.4286,1,0.253,xenium_human_breast_cancer_seed4
Contiguous Random,22,3,15,<=6,6,5,0.08551140509729926,5.683,23.4585,4.13,50,1,0.1,1,0.0864,1,0.0563,xenium_human_breast_cancer_seed4
Non-Contiguous Random,22,3,15,<=6,6,2,0.0013316914467613739,6.7147,22.6927,3.38,50,1,0.1429,1,0.1111,1,0.125,xenium_human_breast_cancer_seed4
Contiguous Random,23,2,6,<=6,4,105,0.5585259819984436,3.0162,20.0567,6.65,50,0,0.0,0,0.0,1,0.0065,xenium_human_breast_cancer_seed4
Non-Contiguous Random,23,2,6,<=6,4,7,0.13342344658851624,5.0976,19.9146,3.91,50,1,0.0833,1,0.16,1,0.0971,xenium_human_breast_cancer_seed4
Contiguous Random,24,1,9,<=6,5,10,0.16753176172024875,5.3664,21.6417,4.03,50,1,0.1111,1,0.0755,1,0.0659,xenium_human_breast_cancer_seed4
Non-Contiguous Random,24,1,9,<=6,5,3,0.057359238708161786,5.6361,21.7216,3.85,50,1,0.1176,1,0.1373,1,0.0722,xenium_human_breast_cancer_seed4
Contiguous Random,25,2,0,<=6,5,1,1.4479273723055908e-07,4.4745,19.718,4.41,50,1,1.0,1,1.0,1,0.9722,xenium_human_breast_cancer_seed4
Non-Contiguous Random,25,2,0,<=6,5,1,0.0,3.819,19.1886,5.02,50,1,0.5122,1,0.3679,1,0.2893,xenium_human_breast_cancer_seed4
Contiguous Random,26,0,4,<=6,4,4,0.06341415241241455,4.7391,19.3921,4.09,50,1,0.0571,1,0.1304,1,0.1062,xenium_human_breast_cancer_seed4
Non-Contiguous Random,26,0,4,<=6,4,5,0.15529970805168153,5.8067,19.5116,3.36,50,1,0.2857,1,0.2692,1,0.1535,xenium_human_breast_cancer_seed4
