query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,3,cross_modal_brca_x2v_seed1,27.1562,1500.4767,55.25,140.0108,140.0108,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
1,4,cross_modal_brca_x2v_seed1,24.7702,1481.3541,59.8,140.0081,140.0081,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
2,9,cross_modal_brca_x2v_seed1,24.562,1518.0484,61.8,138.0202,138.0202,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
3,11,cross_modal_brca_x2v_seed1,24.5998,1505.0198,61.18,136.4066,136.4066,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
4,17,cross_modal_brca_x2v_seed1,24.6452,1505.5593,61.09,134.2584,134.2584,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
5,18,cross_modal_brca_x2v_seed1,24.7339,1520.0029,61.45,131.205,131.205,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
6,19,cross_modal_brca_x2v_seed1,24.3972,1489.508,61.05,137.7324,137.7324,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
7,30,cross_modal_brca_x2v_seed1,24.6656,1506.4519,61.08,137.2667,137.2667,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
8,31,cross_modal_brca_x2v_seed1,24.6482,1511.4773,61.32,131.669,131.669,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
9,33,cross_modal_brca_x2v_seed1,24.6909,1507.8587,61.07,135.1368,135.1368,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
10,34,cross_modal_brca_x2v_seed1,24.4641,1516.4877,61.99,134.9736,134.9736,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
11,38,cross_modal_brca_x2v_seed1,24.5481,1505.7809,61.34,135.2417,135.2417,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
12,40,cross_modal_brca_x2v_seed1,24.4843,1517.0465,61.96,134.562,134.562,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
13,43,cross_modal_brca_x2v_seed1,24.6543,1493.1303,60.56,131.2244,131.2244,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
14,44,cross_modal_brca_x2v_seed1,24.5116,1507.3916,61.5,133.2825,133.2825,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
15,46,cross_modal_brca_x2v_seed1,24.7363,1505.7999,60.87,135.0258,135.0258,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
16,53,cross_modal_brca_x2v_seed1,24.5613,1507.3228,61.37,128.8939,128.8939,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
17,54,cross_modal_brca_x2v_seed1,24.6661,1510.5585,61.24,133.4285,133.4285,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
18,57,cross_modal_brca_x2v_seed1,24.5621,1516.0055,61.72,131.5402,131.5402,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
19,59,cross_modal_brca_x2v_seed1,24.6674,1533.9512,62.19,130.7417,130.7417,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
20,60,cross_modal_brca_x2v_seed1,24.4328,1529.808,62.61,135.1432,135.1432,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
21,64,cross_modal_brca_x2v_seed1,25.0231,1515.3595,60.56,138.5782,138.5782,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,1,all_niche,global,1,156,165,8.89
