query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_v2x_seed1,21.0913,1635.7465,77.56,16.1693,16.1693,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
1,2,cross_modal_brca_v2x_seed1,18.9109,1596.8941,84.44,15.1178,15.1178,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
2,3,cross_modal_brca_v2x_seed1,18.5821,1530.1446,82.35,14.1192,14.1192,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
3,9,cross_modal_brca_v2x_seed1,18.5887,1592.1123,85.65,15.3802,15.3802,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
4,17,cross_modal_brca_v2x_seed1,17.9804,1591.6821,88.52,15.8139,15.8139,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
5,18,cross_modal_brca_v2x_seed1,17.2712,1651.8502,95.64,15.9044,15.9044,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
6,21,cross_modal_brca_v2x_seed1,17.8479,1605.3827,89.95,15.4917,15.4917,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,1,all_niche,global,3,165,156,2.4
7,22,cross_modal_brca_v2x_seed1,17.8092,1585.8619,89.05,15.3555,15.3555,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
8,27,cross_modal_brca_v2x_seed1,17.5016,1633.0783,93.31,14.7235,14.7235,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
9,33,cross_modal_brca_v2x_seed1,18.6213,1593.6314,85.58,14.4853,14.4853,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
10,35,cross_modal_brca_v2x_seed1,17.7526,1634.3204,92.06,15.96,15.96,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
11,36,cross_modal_brca_v2x_seed1,18.1031,1609.9749,88.93,15.6853,15.6853,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
12,37,cross_modal_brca_v2x_seed1,17.6263,1618.8735,91.84,15.9619,15.9619,1,1,1.0,1,1.0,1,1.0,1,1.0,2,v2x,1,all_niche,global,3,165,156,2.4
13,39,cross_modal_brca_v2x_seed1,17.5924,1623.2639,92.27,15.4268,15.4268,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
14,45,cross_modal_brca_v2x_seed1,17.8338,1453.7686,81.52,15.3628,15.3628,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
15,47,cross_modal_brca_v2x_seed1,14.9595,1613.8733,107.88,17.5278,17.5278,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,1,all_niche,global,3,165,156,2.4
16,51,cross_modal_brca_v2x_seed1,17.0812,1600.6105,93.71,14.5858,14.5858,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
17,53,cross_modal_brca_v2x_seed1,16.0688,1620.1707,100.83,16.9092,16.9092,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
18,54,cross_modal_brca_v2x_seed1,15.5063,1526.9068,98.47,16.5021,16.5021,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
19,55,cross_modal_brca_v2x_seed1,15.9111,1619.1023,101.76,15.7171,15.7171,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
20,56,cross_modal_brca_v2x_seed1,14.417,1641.0316,113.83,18.8361,18.8361,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
21,58,cross_modal_brca_v2x_seed1,14.931,1579.7136,105.8,17.7893,17.7893,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
22,64,cross_modal_brca_v2x_seed1,14.8676,1621.04,109.03,16.3803,16.3803,1,1,1.0,1,1.0,1,1.0,1,1.0,2,v2x,1,all_niche,global,3,165,156,2.4
23,65,cross_modal_brca_v2x_seed1,14.6075,1598.7703,109.45,16.9245,16.9245,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
24,67,cross_modal_brca_v2x_seed1,14.1726,1633.0572,115.23,17.7997,17.7997,1,1,1.0,1,1.0,1,1.0,1,1.0,2,v2x,1,all_niche,global,3,165,156,2.4
25,68,cross_modal_brca_v2x_seed1,18.0724,1559.3383,86.28,15.0193,15.0193,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
26,76,cross_modal_brca_v2x_seed1,18.0075,1600.5411,88.88,15.4692,15.4692,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
27,87,cross_modal_brca_v2x_seed1,17.4458,1609.2576,92.24,14.4189,14.4189,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
28,88,cross_modal_brca_v2x_seed1,18.1907,1601.4012,88.03,13.489,13.489,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
29,91,cross_modal_brca_v2x_seed1,17.3781,1608.1524,92.54,14.6076,14.6076,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
30,93,cross_modal_brca_v2x_seed1,17.7815,1583.7191,89.07,14.1142,14.1142,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
31,97,cross_modal_brca_v2x_seed1,18.0596,1521.9841,84.28,13.6785,13.6785,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
32,102,cross_modal_brca_v2x_seed1,18.2361,1560.224,85.56,14.2387,14.2387,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,1,all_niche,global,3,165,156,2.4
