x,y,pathway_score
810.1502075195312,853.48486328125,-0.03333333333333333
813.3478393554688,857.6788940429688,-0.16666666666666666
810.6880493164062,866.4674682617188,-0.06666666666666667
815.040771484375,842.5482177734375,-0.3
815.2679443359375,871.2796020507812,0.33333333333333337
819.1183471679688,862.7796020507812,-0.26666666666666666
821.2990112304688,787.2958374023438,-0.1
820.057861328125,847.2770385742188,0.4
822.0491943359375,870.8825073242188,1.5666666666666667
821.4235229492188,853.58740234375,-0.16666666666666666
823.7000122070312,777.0691528320312,-0.1
821.89013671875,754.1527099609375,-0.13333333333333333
826.0646362304688,842.7853393554688,0.23333333333333334
825.8518676757812,860.6596069335938,-0.26666666666666666
828.1846313476562,850.4227294921875,-0.23333333333333334
826.465576171875,812.7130737304688,-0.5
828.380126953125,833.6885986328125,-0.26666666666666666
829.7322387695312,800.7913208007812,-0.36666666666666664
831.6683959960938,840.4335327148438,-0.26666666666666666
831.6672973632812,861.254150390625,-0.03333333333333333
833.7972412109375,864.8699340820312,-0.1
831.56005859375,770.5341796875,-0.3
832.5098876953125,819.9019165039062,-0.16666666666666666
835.7430419921875,781.9970703125,-0.36666666666666664
834.1361694335938,855.0106201171875,0.3666666666666667
835.8167724609375,832.3486328125,-0.2
839.0277099609375,845.1881713867188,-0.13333333333333333
839.9446411132812,839.58251953125,-0.3333333333333333
839.986328125,857.1116943359375,-0.16666666666666666
843.499267578125,769.86962890625,-0.6
842.6700439453125,776.0160522460938,-0.43333333333333335
841.4653930664062,848.6494140625,-0.23333333333333334
841.6603393554688,793.7028198242188,-0.3
837.7833251953125,763.8053588867188,-0.23333333333333334
841.6531982421875,828.1893920898438,-0.3333333333333333
842.4204711914062,860.8836059570312,-0.1
848.634521484375,805.5425415039062,-0.5666666666666667
845.8682250976562,763.2786865234375,0.6333333333333333
849.2723999023438,839.1554565429688,-0.13333333333333333
846.1148681640625,861.7655029296875,-0.1
844.9785766601562,752.025390625,-0.4666666666666667
847.3153076171875,868.3995971679688,-0.06666666666666665
850.1918334960938,848.844482421875,-0.16666666666666663
850.2720947265625,825.4515380859375,0.7666666666666666
851.6837768554688,785.718994140625,-0.2
853.0335693359375,833.400634765625,2.466666666666667
851.9280395507812,861.029541015625,-0.2
833.0574951171875,847.0369262695312,-0.16666666666666666
839.5343017578125,814.9491577148438,-0.3333333333333333
836.4918212890625,869.42919921875,-0.13333333333333333
643.3634033203125,855.7691650390625,-0.9
661.2054443359375,842.1824340820312,0.33333333333333337
663.8857421875,853.3829956054688,-0.5333333333333333
673.2279663085938,847.5440673828125,-0.3333333333333333
666.464599609375,869.5068359375,-0.2
679.6011962890625,844.2696533203125,-0.3333333333333333
681.0050659179688,876.9320068359375,-0.3
680.5910034179688,859.0422973632812,-0.3333333333333333
680.8335571289062,865.71484375,-0.06666666666666667
684.5242309570312,847.2308349609375,0.43333333333333335
691.0116577148438,871.6339111328125,-0.06666666666666667
689.2048950195312,851.2169799804688,-0.4
690.2001342773438,858.9839477539062,-0.16666666666666666
696.2789306640625,863.9559936523438,-0.43333333333333335
697.984375,855.8998413085938,-0.5
702.2455444335938,849.81103515625,-0.26666666666666666
702.26171875,865.3731079101562,-0.23333333333333334
709.5241088867188,871.11865234375,-0.26666666666666666
711.069091796875,856.4043579101562,-0.06666666666666667
712.4739379882812,847.3547973632812,0.4666666666666667
719.8096313476562,864.4340209960938,-0.06666666666666667
720.1995849609375,852.0844116210938,2.5
728.0377807617188,841.936279296875,0.7333333333333334
730.2772827148438,856.8165893554688,-0.06666666666666667
729.0921630859375,866.8560791015625,-0.4
735.0768432617188,849.7190551757812,-0.26666666666666666
739.0387573242188,872.0473022460938,0.09999999999999998
742.1096801757812,864.4534912109375,-0.5333333333333333
744.6809692382812,855.221923828125,-0.26666666666666666
744.282470703125,869.4803466796875,-0.03333333333333333
741.5543823242188,840.396728515625,-0.23333333333333334
747.9529418945312,848.9103393554688,0.3
752.917724609375,840.9066162109375,-0.6333333333333333
753.7603149414062,858.1384887695312,-0.3
752.4155883789062,867.0243530273438,-0.16666666666666666
760.0930786132812,860.1388549804688,-0.6
762.2081298828125,868.4432373046875,-0.13333333333333333
770.5283813476562,858.9290771484375,-0.3666666666666667
773.1382446289062,869.9982299804688,-0.13333333333333333
779.9337768554688,867.4368286132812,-0.3333333333333333
780.9773559570312,854.5736083984375,-0.6333333333333333
783.529541015625,844.6759643554688,-0.5
785.966552734375,864.9368896484375,-0.4
789.5377807617188,852.130859375,0.7
790.4692993164062,861.91943359375,-0.26666666666666666
795.0747680664062,868.5018920898438,-0.16666666666666666
794.2685546875,848.9490966796875,-0.033333333333333326
795.0272827148438,860.4073486328125,-0.13333333333333333
798.0292358398438,857.385986328125,-0.26666666666666666
798.7188110351562,845.5016479492188,0.7333333333333334
803.2984008789062,851.1690673828125,0.13333333333333336
803.4451904296875,862.3812255859375,-0.16666666666666666
804.4961547851562,856.3978271484375,-0.13333333333333333
804.8510131835938,838.7946166992188,-0.16666666666666666
832.2490844726562,2564.64111328125,-0.16666666666666666
821.9498291015625,2564.466796875,-0.06666666666666667
837.60107421875,2567.079833984375,-0.26666666666666666
827.1429443359375,2565.15283203125,-0.03333333333333333
842.9232788085938,2567.0732421875,-0.06666666666666667
848.8633422851562,2568.7255859375,-0.13333333333333333
830.2304077148438,2571.990966796875,-0.033333333333333326
822.7311401367188,2569.226318359375,-0.06666666666666667
821.1504516601562,2573.59765625,-0.26666666666666666
846.0512084960938,2573.568115234375,-0.2
840.5211791992188,2574.99169921875,0.33333333333333337
849.8953857421875,2577.38134765625,-0.06666666666666667
824.5923461914062,2579.10791015625,1.2
835.7137451171875,2578.86767578125,-0.5
845.4990844726562,2580.1962890625,-0.03333333333333333
828.433837890625,2581.76220703125,-0.1
851.6229858398438,2582.868896484375,-0.06666666666666667
841.430419921875,2583.417724609375,-0.03333333333333333
831.9879760742188,2583.110107421875,-0.13333333333333333
847.1248168945312,2585.33056640625,-0.16666666666666666
837.0978393554688,2585.0361328125,-0.06666666666666667
825.1329345703125,2588.18701171875,-0.43333333333333335
832.5321044921875,2587.46728515625,-0.16666666666666666
850.3829956054688,2589.150146484375,-0.1
843.0507202148438,2589.933349609375,-0.2
838.744384765625,2590.77978515625,-0.1
831.9599609375,2591.71142578125,-0.03333333333333333
836.9144897460938,2594.92578125,-0.03333333333333333
848.7938842773438,2593.776611328125,-0.13333333333333333
829.5582275390625,2595.868408203125,-0.06666666666666667
848.1956176757812,2598.86083984375,0.6
824.7868041992188,2597.173095703125,0.0
834.7102661132812,2600.1416015625,-0.13333333333333333
823.1870727539062,2601.939208984375,-0.13333333333333333
848.3411254882812,2604.258544921875,0.8666666666666667
839.8543701171875,2604.505615234375,0.26666666666666666
828.6051025390625,2603.779541015625,0.33333333333333337
832.617431640625,2606.286376953125,-0.1
824.6788940429688,2607.87548828125,0.33333333333333337
837.1041870117188,2902.47509765625,-0.2
839.7568359375,2833.05224609375,-0.3
833.0533447265625,2970.78662109375,-0.2
851.5511474609375,2845.453857421875,-0.03333333333333333
848.0133056640625,2837.43798828125,-0.5666666666666667
841.4391479492188,2848.43310546875,-0.36666666666666664
842.7607421875,2863.9150390625,-0.3
843.2683715820312,2874.35009765625,-0.43333333333333335
828.0809936523438,2865.318359375,-0.06666666666666667
843.2288208007812,2883.345703125,-0.3333333333333333
821.5903930664062,2874.58935546875,-0.03333333333333333
832.2988891601562,2880.125244140625,0.5
849.6771850585938,2881.06103515625,-0.03333333333333333
