Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,15,2,10,<=6,5,1,0.0,20.3678,106.706,5.24,50,1,0.4127,1,0.3738,1,0.2513,xenium_human_brain_cancer_seed3
Contiguous Random,16,1,13,<=6,4,9,0.09690916728973387,18.0743,101.8102,5.63,50,1,0.25,1,0.1905,1,0.097,xenium_human_brain_cancer_seed3
Non-Contiguous Random,16,1,13,<=6,4,2,0.0009670911455154363,16.9806,101.443,5.97,50,1,0.3333,1,0.2245,1,0.1393,xenium_human_brain_cancer_seed3
Contiguous Random,17,12,2,<=6,5,1,0.0,24.8045,108.7523,4.38,50,1,0.0456,1,0.0441,1,0.0348,xenium_human_brain_cancer_seed3
Non-Contiguous Random,17,12,2,<=6,5,1,0.0,22.7629,103.7252,4.56,50,1,0.1311,1,0.1157,1,0.1099,xenium_human_brain_cancer_seed3
Contiguous Random,18,6,4,<=6,5,1,0.0,19.7486,104.0468,5.27,50,1,0.013,1,0.013,1,0.013,xenium_human_brain_cancer_seed3
Non-Contiguous Random,18,6,4,<=6,5,1,0.0,20.2916,103.8757,5.12,50,1,0.0138,1,0.0138,1,0.0138,xenium_human_brain_cancer_seed3
Contiguous Random,19,9,0,<=6,5,1,0.0,18.8747,102.1315,5.41,50,1,0.0075,1,0.0075,1,0.0075,xenium_human_brain_cancer_seed3
Non-Contiguous Random,19,9,0,<=6,5,1,0.0,20.2906,103.0235,5.08,50,1,0.0072,1,0.0072,1,0.0072,xenium_human_brain_cancer_seed3
Contiguous Random,20,8,12,<=6,5,1,0.0,19.8577,110.7746,5.58,50,1,0.25,1,0.2463,1,0.1739,xenium_human_brain_cancer_seed3
Non-Contiguous Random,20,8,12,<=6,5,1,0.0,19.4182,114.2379,5.88,50,1,0.381,1,0.3651,1,0.206,xenium_human_brain_cancer_seed3
Contiguous Random,21,10,6,<=6,5,1,0.0,18.7947,104.9019,5.58,50,1,0.0849,1,0.0694,1,0.0746,xenium_human_brain_cancer_seed3
Non-Contiguous Random,21,10,6,<=6,5,1,0.0,20.4508,103.7825,5.07,50,1,0.0182,1,0.0182,1,0.0182,xenium_human_brain_cancer_seed3
Contiguous Random,22,11,12,<=6,5,1,0.0,19.9663,107.7835,5.4,50,1,0.2658,1,0.2391,1,0.2178,xenium_human_brain_cancer_seed3
Non-Contiguous Random,22,11,12,<=6,5,1,0.0,20.4872,108.8339,5.31,50,1,0.2381,1,0.2759,1,0.213,xenium_human_brain_cancer_seed3
Contiguous Random,23,12,13,<=6,6,3,0.12289454424430618,21.4538,114.4914,5.34,50,1,0.2,1,0.625,1,0.5529,xenium_human_brain_cancer_seed3
Non-Contiguous Random,23,12,13,<=6,6,5,0.05240837688176294,21.4799,116.6915,5.43,50,1,0.4,1,0.377,1,0.3379,xenium_human_brain_cancer_seed3
Contiguous Random,24,5,14,<=6,6,16,0.255700741999484,24.7684,125.899,5.08,50,0,0.0,1,0.1463,1,0.0769,xenium_human_brain_cancer_seed3
Non-Contiguous Random,24,5,14,<=6,6,4,0.2589752281568256,21.959,117.3318,5.34,50,0,0.0,1,0.3,1,0.24,xenium_human_brain_cancer_seed3
Contiguous Random,25,0,10,<=6,6,1,-2.306333283973866e-06,22.8312,113.4345,4.97,50,1,1.0,1,0.7917,1,0.4364,xenium_human_brain_cancer_seed3
Non-Contiguous Random,25,0,10,<=6,6,1,4.740573340654072e-06,22.03,112.1729,5.09,50,1,0.55,1,0.4154,1,0.2049,xenium_human_brain_cancer_seed3
Contiguous Random,26,11,19,<=6,5,17,0.1430040023693146,25.5258,117.7207,4.61,50,1,0.087,1,0.0896,1,0.0227,xenium_human_brain_cancer_seed3
Non-Contiguous Random,26,11,19,<=6,5,12,0.08319364479998348,24.3521,119.1606,4.89,50,1,0.0952,1,0.0206,1,0.0074,xenium_human_brain_cancer_seed3
Contiguous Random,27,6,4,<=6,4,1,0.0,18.0204,103.4398,5.74,50,1,0.0112,1,0.0112,1,0.0112,xenium_human_brain_cancer_seed3
Non-Contiguous Random,27,6,4,<=6,4,1,0.0,17.322,98.9684,5.71,50,1,0.1429,1,0.0639,1,0.0581,xenium_human_brain_cancer_seed3
Contiguous Random,28,2,3,<=6,5,2,0.0109449388125466,19.7139,103.8672,5.27,50,1,0.8,1,0.8,1,0.6923,xenium_human_brain_cancer_seed3
Non-Contiguous Random,28,2,3,<=6,5,1,0.0,21.134,103.2658,4.89,50,1,0.3211,1,0.1515,1,0.0624,xenium_human_brain_cancer_seed3
Contiguous Random,29,12,24,<=6,4,180,0.1439293019771576,20.4567,109.7478,5.36,50,0,0.0,1,0.002,1,0.0044,xenium_human_brain_cancer_seed3
Non-Contiguous Random,29,12,24,<=6,4,501,0.22231941186904908,14.1565,109.3314,7.72,50,0,0.0,1,0.0039,1,0.0063,xenium_human_brain_cancer_seed3
Contiguous Random,30,13,10,<=6,4,1,0.0,16.6219,99.6585,6.0,50,1,0.2966,1,0.2198,1,0.1733,xenium_human_brain_cancer_seed3
Non-Contiguous Random,30,13,10,<=6,4,1,0.0,18.5634,103.5659,5.58,50,1,0.1314,1,0.0853,1,0.0763,xenium_human_brain_cancer_seed3
Contiguous Random,31,6,14,<=6,5,1,0.0,21.919,114.592,5.23,50,1,0.3077,1,0.3143,1,0.2714,xenium_human_brain_cancer_seed3
Non-Contiguous Random,31,6,14,<=6,5,4,0.31985321609372386,20.7685,113.3727,5.46,50,0,0.0,1,0.2,1,0.2486,xenium_human_brain_cancer_seed3
Contiguous Random,32,1,14,<=6,4,2,0.004753821845054629,21.8468,107.0344,4.9,50,1,0.1176,1,0.25,1,0.0959,xenium_human_brain_cancer_seed3
Non-Contiguous Random,32,1,14,<=6,4,7,0.10770055278778076,20.9108,108.339,5.18,50,1,0.3,1,0.2333,1,0.1106,xenium_human_brain_cancer_seed3
Contiguous Random,33,4,12,<=6,5,1,0.0,22.4104,109.711,4.9,50,1,0.1527,1,0.1522,1,0.1284,xenium_human_brain_cancer_seed3
Non-Contiguous Random,33,4,12,<=6,5,1,2.7504596506579618e-06,22.9037,109.4325,4.78,50,1,0.125,1,0.2061,1,0.1429,xenium_human_brain_cancer_seed3
Contiguous Random,34,15,25,<=6,5,1,-3.681447487607903e-06,21.9077,122.1439,5.58,50,1,0.0096,1,0.0105,1,0.0091,xenium_human_brain_cancer_seed3
Non-Contiguous Random,34,15,25,<=6,5,6,0.037828726961875433,20.5927,116.2022,5.64,50,1,0.3404,1,0.2051,1,0.1064,xenium_human_brain_cancer_seed3
Contiguous Random,35,15,25,<=6,5,2,0.003217197941579625,19.1889,119.2826,6.22,50,1,0.0244,1,0.0141,1,0.01,xenium_human_brain_cancer_seed3
Non-Contiguous Random,35,15,25,<=6,5,97,0.14012425468301004,21.8282,117.9465,5.4,50,1,0.0279,1,0.0168,1,0.0092,xenium_human_brain_cancer_seed3
Contiguous Random,36,11,17,<=6,5,17,0.127797024681968,23.6788,119.3555,5.04,50,1,0.04,1,0.0524,1,0.0122,xenium_human_brain_cancer_seed3
Non-Contiguous Random,36,11,17,<=6,5,2,0.014399437304204288,25.5158,118.3969,4.64,50,1,0.1905,1,0.1136,1,0.02,xenium_human_brain_cancer_seed3
Contiguous Random,37,6,21,<=6,5,45,0.13627306009332363,23.8156,121.6866,5.11,50,1,0.0106,1,0.0135,1,0.006,xenium_human_brain_cancer_seed3
Non-Contiguous Random,37,6,21,<=6,5,18,0.04903712977576363,22.3235,121.2432,5.43,50,1,0.0148,1,0.0146,1,0.006,xenium_human_brain_cancer_seed3
Contiguous Random,38,3,26,<=6,4,40,0.09516376106262209,23.5471,109.6504,4.66,50,1,0.0256,1,0.0167,1,0.0059,xenium_human_brain_cancer_seed3
Non-Contiguous Random,38,3,26,<=6,4,40,0.09853983280658721,19.3793,108.4212,5.59,50,1,0.0097,1,0.008,1,0.0053,xenium_human_brain_cancer_seed3
Contiguous Random,39,14,5,<=6,6,1,1.5141268866272761e-06,24.381,109.793,4.5,50,1,1.0,1,0.8519,1,0.2488,xenium_human_brain_cancer_seed3
