direction,n_seeds,num_queries,n_tiles_index,n_tiles_query,mean_n_niches,sd_n_niches,mean_recall_at_eps_0.1,sd_recall_at_eps_0.1,mean_recall_at_eps_0.5,sd_recall_at_eps_0.5,mean_overlap_at_eps_0.5,sd_overlap_at_eps_0.5,mean_overlap_at_eps_1.0,sd_overlap_at_eps_1.0,mean_mean_speedup,sd_mean_speedup
x2v,1,50,156,165,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.1514898987853,0.0
v2x,1,50,165,156,3.0,0.0,0.68,0.0,0.74,0.0,0.554148,0.0,0.612726,0.0,232.35326464979207,0.0
