modality,id,x0,y0,x1,y1
Xenium,0,4819.180812263488,6257.154465198517,5475.52734375,7150.159326171874
Xenium,1,4491.0075465202335,6703.656895685195,4819.180812263488,7150.159326171874
Xenium,2,4162.834280776978,6703.656895685195,4491.0075465202335,7150.159326171874
Xenium,3,4491.0075465202335,6257.154465198517,4819.180812263488,6703.656895685195
Xenium,4,4162.834280776978,6257.154465198517,4491.0075465202335,6703.656895685195
Xenium,5,4819.180812263488,5364.149604225158,5475.52734375,6257.154465198517
Xenium,6,4491.0075465202335,5810.652034711838,4819.180812263488,6257.154465198517
Xenium,7,4162.834280776978,5810.652034711838,4491.0075465202335,6257.154465198517
Xenium,8,4491.0075465202335,5364.149604225158,4819.180812263488,5810.652034711838
Xenium,9,4162.834280776978,5364.149604225158,4491.0075465202335,5810.652034711838
Xenium,10,3834.661015033722,6703.656895685195,4162.834280776978,7150.159326171874
Xenium,11,3506.487749290466,6703.656895685195,3834.661015033722,7150.159326171874
Xenium,12,3834.661015033722,6257.154465198517,4162.834280776978,6703.656895685195
Xenium,13,3506.487749290466,6257.154465198517,3834.661015033722,6703.656895685195
Xenium,14,3178.3144835472103,6703.656895685195,3506.487749290466,7150.159326171874
Xenium,15,2850.141217803955,6703.656895685195,3178.3144835472103,7150.159326171874
Xenium,16,3178.3144835472103,6257.154465198517,3506.487749290466,6703.656895685195
Xenium,17,2850.141217803955,6257.154465198517,3178.3144835472103,6703.656895685195
Xenium,18,3834.661015033722,5810.652034711838,4162.834280776978,6257.154465198517
Xenium,19,3506.487749290466,5810.652034711838,3834.661015033722,6257.154465198517
Xenium,20,3834.661015033722,5364.149604225158,4162.834280776978,5810.652034711838
Xenium,21,3506.487749290466,5364.149604225158,3834.661015033722,5810.652034711838
Xenium,22,3178.3144835472103,5810.652034711838,3506.487749290466,6257.154465198517
Xenium,23,2850.141217803955,5810.652034711838,3178.3144835472103,6257.154465198517
Xenium,24,3178.3144835472103,5364.149604225158,3506.487749290466,5810.652034711838
Xenium,25,2850.141217803955,5364.149604225158,3178.3144835472103,5810.652034711838
Xenium,26,4819.180812263488,4471.1447432518,5475.52734375,5364.149604225158
Xenium,27,4162.834280776978,4471.1447432518,4819.180812263488,5364.149604225158
Xenium,28,4819.180812263488,3578.139882278442,5475.52734375,4471.1447432518
Xenium,29,4162.834280776978,3578.139882278442,4819.180812263488,4471.1447432518
Xenium,30,3834.661015033722,4917.647173738479,4162.834280776978,5364.149604225158
Xenium,31,3506.487749290466,4917.647173738479,3834.661015033722,5364.149604225158
Xenium,32,3834.661015033722,4471.1447432518,4162.834280776978,4917.647173738479
Xenium,33,3506.487749290466,4471.1447432518,3834.661015033722,4917.647173738479
Xenium,34,3178.3144835472103,4917.647173738479,3506.487749290466,5364.149604225158
Xenium,35,2850.141217803955,4917.647173738479,3178.3144835472103,5364.149604225158
Xenium,36,3178.3144835472103,4471.1447432518,3506.487749290466,4917.647173738479
Xenium,37,2850.141217803955,4471.1447432518,3178.3144835472103,4917.647173738479
Xenium,38,3834.661015033722,4024.642312765121,4162.834280776978,4471.1447432518
Xenium,39,3506.487749290466,4024.642312765121,3834.661015033722,4471.1447432518
Xenium,40,3834.661015033722,3578.139882278442,4162.834280776978,4024.642312765121
Xenium,41,3506.487749290466,3578.139882278442,3834.661015033722,4024.642312765121
Xenium,42,3178.3144835472103,4024.642312765121,3506.487749290466,4471.1447432518
Xenium,43,2850.141217803955,4024.642312765121,3178.3144835472103,4471.1447432518
Xenium,44,3178.3144835472103,3578.139882278442,3506.487749290466,4024.642312765121
Xenium,45,2850.141217803955,3578.139882278442,3178.3144835472103,4024.642312765121
Xenium,46,2521.9679520606996,6703.656895685195,2850.141217803955,7150.159326171874
Xenium,47,2193.794686317444,6703.656895685195,2521.9679520606996,7150.159326171874
Xenium,48,2521.9679520606996,6257.154465198517,2850.141217803955,6703.656895685195
Xenium,49,2193.794686317444,6257.154465198517,2521.9679520606996,6703.656895685195
Xenium,50,1537.4481548309325,6257.154465198517,2193.794686317444,7150.159326171874
Xenium,51,2193.794686317444,5364.149604225158,2850.141217803955,6257.154465198517
Xenium,52,1537.4481548309325,5364.149604225158,2193.794686317444,6257.154465198517
Xenium,53,881.1016233444213,6257.154465198517,1537.4481548309325,7150.159326171874
Xenium,54,224.75509185791012,6257.154465198517,881.1016233444213,7150.159326171874
Xenium,55,881.1016233444213,5364.149604225158,1537.4481548309325,6257.154465198517
Xenium,56,224.75509185791012,5364.149604225158,881.1016233444213,6257.154465198517
Xenium,57,2193.794686317444,4471.1447432518,2850.141217803955,5364.149604225158
Xenium,58,1537.4481548309325,4471.1447432518,2193.794686317444,5364.149604225158
Xenium,59,2193.794686317444,3578.139882278442,2850.141217803955,4471.1447432518
Xenium,60,1537.4481548309325,3578.139882278442,2193.794686317444,4471.1447432518
Xenium,61,881.1016233444213,4471.1447432518,1537.4481548309325,5364.149604225158
Xenium,62,552.9283576011658,4917.647173738479,881.1016233444213,5364.149604225158
Xenium,63,224.75509185791012,4917.647173738479,552.9283576011658,5364.149604225158
Xenium,64,552.9283576011658,4471.1447432518,881.1016233444213,4917.647173738479
Xenium,65,224.75509185791012,4471.1447432518,552.9283576011658,4917.647173738479
Xenium,66,881.1016233444213,3578.139882278442,1537.4481548309325,4471.1447432518
Xenium,67,224.75509185791012,3578.139882278442,881.1016233444213,4471.1447432518
Xenium,68,4819.180812263488,2685.135021305084,5475.52734375,3578.139882278442
Xenium,69,4162.834280776978,2685.135021305084,4819.180812263488,3578.139882278442
Xenium,70,4819.180812263488,1792.130160331726,5475.52734375,2685.135021305084
Xenium,71,4162.834280776978,1792.130160331726,4819.180812263488,2685.135021305084
Xenium,72,3506.487749290466,2685.135021305084,4162.834280776978,3578.139882278442
Xenium,73,3178.3144835472103,3131.637451791763,3506.487749290466,3578.139882278442
Xenium,74,2850.141217803955,3131.637451791763,3178.3144835472103,3578.139882278442
Xenium,75,3178.3144835472103,2685.135021305084,3506.487749290466,3131.637451791763
Xenium,76,2850.141217803955,2685.135021305084,3178.3144835472103,3131.637451791763
Xenium,77,3506.487749290466,1792.130160331726,4162.834280776978,2685.135021305084
Xenium,78,3178.3144835472103,2238.6325908184053,3506.487749290466,2685.135021305084
Xenium,79,2850.141217803955,2238.6325908184053,3178.3144835472103,2685.135021305084
Xenium,80,3178.3144835472103,1792.130160331726,3506.487749290466,2238.6325908184053
Xenium,81,2850.141217803955,1792.130160331726,3178.3144835472103,2238.6325908184053
Xenium,82,4819.180812263488,899.1252993583679,5475.52734375,1792.130160331726
Xenium,83,4491.0075465202335,1345.627729845047,4819.180812263488,1792.130160331726
Xenium,84,4162.834280776978,1345.627729845047,4491.0075465202335,1792.130160331726
