modality,x,y
Xenium,3242.877209472656,1927.596423339844
Xenium,2692.241357421875,3731.5651611328126
Xenium,2894.551110839844,5552.307080078125
Xenium,2753.003076171875,4338.424487304687
Xenium,5055.467138671875,723.9464630126953
Xenium,1593.9269104003906,3585.7561279296874
Xenium,1136.2050231933592,3107.293078613281
Xenium,1965.295458984375,6683.150732421875
Xenium,3681.804467773437,2214.0318969726563
Xenium,1353.7346740722655,3469.55390625
Xenium,1550.5050048828125,6472.307568359375
Xenium,3781.378149414063,6550.071362304688
Xenium,3685.20986328125,6362.769213867187
Xenium,4483.4611328125,6032.683666992188
Xenium,467.7792175292969,4938.539013671875
Xenium,3743.858203125,392.6776916503906
Xenium,4345.541577148438,1145.1659240722656
Xenium,4056.9935546875,472.971615600586
Xenium,4641.7736328125,5982.747827148437
Xenium,3071.1911132812497,6327.52451171875
Xenium,2729.741796875,2820.821496582031
Xenium,3824.440942382813,6376.07578125
Xenium,1608.140234375,369.2257278442383
Xenium,1012.6608642578124,2520.237963867188
Xenium,1085.268109130859,5096.685083007812
Xenium,1293.1226806640625,5258.456518554687
Xenium,5373.0259765625,4767.947167968749
Xenium,2727.2517700195312,5028.14013671875
Xenium,3701.9135253906247,877.3156921386718
Xenium,4185.153881835938,5209.378979492188
Xenium,2692.6962402343747,6648.0923828125
Xenium,5236.51962890625,2479.951574707032
Xenium,3181.167956542969,1414.1623901367186
Xenium,4909.998437499999,329.4567626953125
Xenium,1003.7450988769532,729.1610137939452
Xenium,4188.640209960938,5822.9669189453125
Xenium,4655.011303710938,227.61904296875
Xenium,2054.642785644531,6761.464453125
Xenium,2890.3168823242186,1763.710363769531
Xenium,3830.1327880859376,936.4077087402344
Xenium,3824.907446289063,5802.42041015625
Xenium,2599.688269042969,5917.616162109375
Xenium,3621.8512451171873,1429.392041015625
Xenium,3198.203234863281,555.1778839111328
Xenium,3817.1462158203126,490.2743347167969
Xenium,4112.085839843749,1133.249426269531
Xenium,2393.198864746093,313.74071197509767
Xenium,676.3344268798828,5127.5108642578125
Xenium,494.7941101074219,4947.027807617187
Xenium,2142.281188964844,978.989678955078
Xenium,3478.74619140625,1538.0067260742187
Xenium,428.3230102539063,1207.9303100585937
Xenium,3504.45537109375,2017.4318359375
Xenium,4016.104321289062,1194.40439453125
Xenium,674.4533142089844,4407.674584960937
Xenium,3823.55400390625,2473.7129150390624
Xenium,3758.295751953125,5041.9443359375
Xenium,4041.293041992187,5680.402246093749
Xenium,1298.6571228027344,1895.3929199218749
Xenium,1238.048760986328,4768.829125976562
Xenium,3084.3175537109373,1508.3876708984374
Xenium,1446.9292053222655,1042.5757385253903
Xenium,2096.798510742188,2564.763354492188
Xenium,4256.222680664062,6133.0509033203125
Xenium,2145.090588378906,2942.9185180664062
Xenium,4114.876147460937,1019.2588439941406
Xenium,3076.232385253906,5176.492944335937
Xenium,2992.846057128906,6411.4470703125
Xenium,2908.963549804688,4870.478833007813
Xenium,5467.5552734375,492.70864257812497
Xenium,4336.294091796874,471.8422943115234
Xenium,2735.3545776367187,144.39098739624023
Xenium,1766.6598388671875,2657.1651611328125
Xenium,4471.148583984374,989.4703491210936
Xenium,684.7163482666016,245.6852783203125
Xenium,2227.873034667969,1066.2210327148437
Xenium,3231.535852050781,4034.884423828125
