query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
30,99,cross_modal_brca_v2x_seed0,6.1018,1587.6376,260.19,21.7063,26.7231,47,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
31,102,cross_modal_brca_v2x_seed0,3.5386,1561.1284,441.17,27.0241,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
32,105,cross_modal_brca_v2x_seed0,8.0877,1565.9882,193.63,19.2687,22.1903,35,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
33,108,cross_modal_brca_v2x_seed0,8.07,1616.8596,200.36,19.1898,22.004,27,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
34,109,cross_modal_brca_v2x_seed0,8.4189,1592.8089,189.19,17.5334,21.2455,33,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
35,110,cross_modal_brca_v2x_seed0,2.5111,1632.7121,650.19,21.7166,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
36,119,cross_modal_brca_v2x_seed0,6.122,1552.2669,253.55,22.4417,26.7518,47,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
37,123,cross_modal_brca_v2x_seed0,6.4109,1562.5908,243.74,22.1637,26.1696,45,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
38,127,cross_modal_brca_v2x_seed0,3.349,1586.6171,473.76,29.1106,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
39,128,cross_modal_brca_v2x_seed0,8.3934,1614.3104,192.33,17.1559,18.7276,11,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
40,129,cross_modal_brca_v2x_seed0,6.8022,1579.6386,232.22,21.2987,26.2827,46,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
41,130,cross_modal_brca_v2x_seed0,8.0702,1594.6668,197.6,18.0598,22.8476,43,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
42,132,cross_modal_brca_v2x_seed0,7.3107,1570.8679,214.87,20.0627,24.6247,45,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
43,133,cross_modal_brca_v2x_seed0,6.1141,1583.7608,259.04,22.1856,27.0112,48,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
44,135,cross_modal_brca_v2x_seed0,7.5084,1453.1914,193.54,19.2108,24.4172,44,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
45,137,cross_modal_brca_v2x_seed0,8.6428,1606.2039,185.84,16.3333,20.7272,34,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
46,143,cross_modal_brca_v2x_seed0,8.6279,1581.2671,183.27,17.987,20.6591,28,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
47,148,cross_modal_brca_v2x_seed0,3.7082,1568.4529,422.97,26.7558,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
48,152,cross_modal_brca_v2x_seed0,7.0592,1563.7622,221.52,19.4831,25.3455,46,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
49,153,cross_modal_brca_v2x_seed0,3.4179,1595.3861,466.77,28.8507,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
