query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
37,120,cross_modal_brca_x2v_seed0,21.3458,1476.364,69.16,29.0716,29.0716,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
38,123,cross_modal_brca_x2v_seed0,21.2639,1476.2747,69.43,27.7848,27.7848,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
39,126,cross_modal_brca_x2v_seed0,21.443,1479.1082,68.98,25.6485,25.6485,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
40,128,cross_modal_brca_x2v_seed0,21.3299,1476.8443,69.24,26.6246,26.6246,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
41,134,cross_modal_brca_x2v_seed0,21.3539,1494.9936,70.01,24.2274,24.2274,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
42,141,cross_modal_brca_x2v_seed0,21.3342,1497.7345,70.2,23.9213,23.9213,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
43,142,cross_modal_brca_x2v_seed0,21.2987,1488.5722,69.89,24.2269,24.2269,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
44,150,cross_modal_brca_x2v_seed0,21.3497,1487.6688,69.68,24.3068,24.3068,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
45,153,cross_modal_brca_x2v_seed0,21.278,1492.6591,70.15,24.2897,24.2897,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
46,156,cross_modal_brca_x2v_seed0,21.3179,1504.9957,70.6,24.596,24.596,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
47,157,cross_modal_brca_x2v_seed0,21.3199,1505.3418,70.61,22.8782,22.8782,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
48,162,cross_modal_brca_x2v_seed0,21.2232,1488.1669,70.12,27.8302,27.8302,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
49,164,cross_modal_brca_x2v_seed0,21.1743,1477.5255,69.78,26.1887,26.1887,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
