rank,tile_id,x0,y0,x1,y1
1,3,3240.420677125454,6889.518132377416,3297.195506453514,7002.404340855777
2,2052,1537.1757972836494,3164.2732525914907,1593.9506266117096,3277.159461069852
3,2053,1480.4009679555893,3164.2732525914907,1537.1757972836494,3277.159461069852
4,2054,1423.6261386275291,3277.159461069852,1480.4009679555893,3390.0456695482135
5,2055,1366.851309299469,3277.159461069852,1423.6261386275291,3390.0456695482135
6,2060,1764.27511459589,2938.500835634768,1821.0499439239502,3051.3870441131294
7,2064,1650.7254559397697,2938.500835634768,1707.50028526783,3051.3870441131294
8,2067,1707.50028526783,2825.6146271564066,1764.27511459589,2938.500835634768
9,2069,1707.50028526783,2712.7284186780453,1764.27511459589,2825.6146271564066
10,23,3013.3213598132133,6889.518132377416,3070.0961891412735,7002.404340855777
11,24,2956.546530485153,6889.518132377416,3013.3213598132133,7002.404340855777
12,27,2842.996871829033,7002.404340855777,2956.546530485153,7228.1767578125
13,28,2729.4472131729126,7002.404340855777,2842.996871829033,7228.1767578125
14,29,2899.771701157093,6889.518132377416,2956.546530485153,7002.404340855777
15,31,2899.771701157093,6776.6319238990545,2956.546530485153,6889.518132377416
16,2077,1480.4009679555893,2938.500835634768,1537.1757972836494,3051.3870441131294
17,33,2786.2220425009727,6889.518132377416,2842.996871829033,7002.404340855777
18,34,2729.4472131729126,6889.518132377416,2786.2220425009727,7002.404340855777
19,2082,1537.1757972836494,2825.6146271564066,1593.9506266117096,2938.500835634768
20,2086,1423.6261386275291,2825.6146271564066,1480.4009679555893,2938.500835634768
21,2087,1366.851309299469,2825.6146271564066,1423.6261386275291,2938.500835634768
22,46,3070.0961891412735,6437.97329846397,3126.8710184693336,6550.859506942332
23,48,3070.0961891412735,6325.087089985609,3126.8710184693336,6437.97329846397
24,49,3013.3213598132133,6437.97329846397,3070.0961891412735,6550.859506942332
25,2096,1196.5268213152885,3390.0456695482135,1253.3016506433487,3502.931878026575
26,51,3013.3213598132133,6325.087089985609,3070.0961891412735,6437.97329846397
27,52,2956.546530485153,6325.087089985609,3013.3213598132133,6437.97329846397
28,2097,1139.7519919872284,3390.0456695482135,1196.5268213152885,3502.931878026575
29,2108,1082.9771626591682,3390.0456695482135,1139.7519919872284,3502.931878026575
30,63,2899.771701157093,6325.087089985609,2956.546530485153,6437.97329846397
31,2111,912.6526746749878,3502.931878026575,969.4275040030479,3615.818086504936
32,69,3297.195506453514,6099.314673028886,3410.7451651096344,6325.087089985609
33,70,3240.420677125454,6212.200881507248,3297.195506453514,6325.087089985609
34,71,3183.645847797394,6212.200881507248,3240.420677125454,6325.087089985609
35,72,3240.420677125454,6099.314673028886,3297.195506453514,6212.200881507248
36,73,3183.645847797394,6099.314673028886,3240.420677125454,6212.200881507248
37,2133,1310.0764799714088,2825.6146271564066,1366.851309299469,2938.500835634768
38,2134,1253.3016506433487,2825.6146271564066,1310.0764799714088,2938.500835634768
39,89,3240.420677125454,5534.8836306370795,3297.195506453514,5647.769839115441
40,93,3126.8710184693336,6212.200881507248,3183.645847797394,6325.087089985609
41,94,3070.0961891412735,6212.200881507248,3126.8710184693336,6325.087089985609
42,95,3126.8710184693336,6099.314673028886,3183.645847797394,6212.200881507248
43,97,3013.3213598132133,6212.200881507248,3070.0961891412735,6325.087089985609
44,98,2956.546530485153,6212.200881507248,3013.3213598132133,6325.087089985609
45,2159,969.4275040030479,2825.6146271564066,1026.202333331108,2938.500835634768
46,114,2899.771701157093,6099.314673028886,2956.546530485153,6212.200881507248
47,115,2842.996871829033,6099.314673028886,2899.771701157093,6212.200881507248
48,116,2786.2220425009727,6212.200881507248,2842.996871829033,6325.087089985609
49,117,2729.4472131729126,6212.200881507248,2786.2220425009727,6325.087089985609
50,118,2786.2220425009727,6099.314673028886,2842.996871829033,6212.200881507248
51,137,3013.3213598132133,5647.769839115441,3070.0961891412735,5760.656047593802
52,149,2899.771701157093,5647.769839115441,2956.546530485153,5760.656047593802
53,163,2615.8975545167923,7002.404340855777,2729.4472131729126,7228.1767578125
54,164,2502.347895860672,7002.404340855777,2615.8975545167923,7228.1767578125
55,165,2672.6723838448524,6889.518132377416,2729.4472131729126,7002.404340855777
56,173,2388.7982372045517,7002.404340855777,2502.347895860672,7228.1767578125
57,174,2275.2485785484314,7002.404340855777,2388.7982372045517,7228.1767578125
