Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,3,12,<=6,4,3,0.18967243280410762,2.5524,10.1802,3.99,50,0,0.0,1,0.3333,1,0.2593,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,0,3,12,<=6,4,11,0.08761700857162474,3.5417,9.6437,2.72,50,1,0.0769,1,0.1064,1,0.1755,xenium_human_skin_melanoma_seed3
Contiguous Random,1,0,8,<=6,6,1,3.0578806692882488e-06,4.8697,11.4226,2.35,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,1,0,8,<=6,6,1,1.6477863366004541e-06,4.1299,10.7776,2.61,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
Contiguous Random,2,3,13,<=6,5,1,-8.92330966784094e-07,3.876,10.2032,2.63,50,1,1.0,1,0.8,1,0.507,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,2,3,13,<=6,5,1,-1.5549830866268266e-06,3.3611,10.3703,3.09,50,1,1.0,1,0.8889,1,0.375,xenium_human_skin_melanoma_seed3
Contiguous Random,3,3,13,<=6,6,2,0.03205209487605798,3.6257,11.1895,3.09,50,1,0.3333,1,0.24,1,0.155,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,3,3,13,<=6,6,3,0.03461080827931923,4.211,11.2245,2.67,50,1,0.16,1,0.1837,1,0.122,xenium_human_skin_melanoma_seed3
Contiguous Random,4,1,2,<=6,4,1,1.98218047618888e-06,3.7294,8.9627,2.4,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,4,1,2,<=6,4,1,0.0,2.5782,8.9581,3.47,50,1,0.9286,1,0.9429,1,0.9592,xenium_human_skin_melanoma_seed3
Contiguous Random,5,0,5,<=6,4,1,-1.2994003295921375e-06,2.4215,9.1123,3.76,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,5,0,5,<=6,4,1,0.0,2.603,9.0071,3.46,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
Contiguous Random,6,2,12,<=6,6,3,0.2753843405406098,2.9533,10.9593,3.71,50,0,0.0,1,0.2857,1,0.1171,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,6,2,12,<=6,6,2,0.053701221630117923,3.8459,11.0405,2.87,50,1,0.25,1,0.2353,1,0.1695,xenium_human_skin_melanoma_seed3
Contiguous Random,7,2,9,<=6,4,1,-3.821887969990279e-06,2.9132,9.5557,3.28,50,1,0.2222,1,0.2038,1,0.1441,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,7,2,9,<=6,4,6,0.06971073933124541,2.8976,9.2731,3.2,50,1,0.3125,1,0.3659,1,0.3013,xenium_human_skin_melanoma_seed3
Contiguous Random,8,1,16,<=6,4,10,0.07104399251937865,3.2456,9.5533,2.94,50,1,0.1111,1,0.1149,1,0.1386,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,8,1,16,<=6,4,11,0.08380324835777281,2.9834,9.5459,3.2,50,1,0.2,1,0.1807,1,0.1472,xenium_human_skin_melanoma_seed3
Contiguous Random,9,2,7,<=6,5,10,0.2539143502542661,3.0612,10.093,3.3,50,0,0.0,1,0.2,1,0.1952,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,9,2,7,<=6,5,2,0.20233696947343383,3.0399,9.9264,3.27,50,0,0.0,1,0.35,1,0.2652,xenium_human_skin_melanoma_seed3
Contiguous Random,10,0,3,<=6,5,1,-3.813097289195877e-06,3.1166,9.7326,3.12,50,1,1.0,1,0.9,1,0.625,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,10,0,3,<=6,5,1,-1.972332716482228e-06,3.212,9.4475,2.94,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
Contiguous Random,11,3,12,<=6,5,28,0.17992064628169585,4.0297,10.1265,2.51,50,0,0.0,1,0.1481,1,0.2459,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,11,3,12,<=6,5,5,0.08343843807701595,4.0337,10.3162,2.56,50,1,0.2667,1,0.2432,1,0.2275,xenium_human_skin_melanoma_seed3
Contiguous Random,12,1,17,<=6,6,1,-9.964087865910187e-08,4.5408,11.0187,2.43,50,1,0.8571,1,0.9286,1,0.9024,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,12,1,17,<=6,6,1,2.2695438450792693e-07,3.8294,10.9826,2.87,50,1,0.9,1,0.84,1,0.7719,xenium_human_skin_melanoma_seed3
Contiguous Random,13,3,4,<=6,6,1,-1.4324637709339783e-07,3.3112,10.7817,3.26,50,1,0.5556,1,0.625,1,0.2461,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,13,3,4,<=6,6,3,0.020864589279726342,4.7695,10.8595,2.28,50,1,0.2917,1,0.2308,1,0.1483,xenium_human_skin_melanoma_seed3
Contiguous Random,14,1,2,<=6,5,1,-6.913874962821698e-07,2.9135,9.3816,3.22,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,14,1,2,<=6,5,1,-2.5267104512560756e-06,2.9081,9.3402,3.21,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
Contiguous Random,15,1,13,<=6,6,13,0.08654013294089447,2.8814,11.0632,3.84,50,1,0.1765,1,0.1333,1,0.1933,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,15,1,13,<=6,6,10,0.07017079827630623,3.4452,11.0277,3.2,50,1,0.1429,1,0.2115,1,0.2,xenium_human_skin_melanoma_seed3
Contiguous Random,16,3,11,<=6,4,2,0.1510320733654499,3.435,8.9413,2.6,50,0,0.0,1,0.3333,1,0.1556,xenium_human_skin_melanoma_seed3
Non-Contiguous Random,16,3,11,<=6,4,1,-1.1934947967695564e-06,3.3878,9.0437,2.67,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed3
