rank,tile_id,x0,y0,x1,y1
1,10,10200.544762134552,3113.2765752077103,10368.666384100914,3168.2027673721313
2,12,10200.544762134552,3058.350383043289,10368.666384100914,3113.2765752077103
3,18,9864.301518201828,3058.350383043289,10032.42314016819,3113.2765752077103
4,24,9528.058274269104,2948.497998714447,9864.301518201828,3058.350383043289
5,34,9864.301518201828,2728.7932300567627,10200.544762134552,2838.645614385605
6,38,9528.058274269104,2728.7932300567627,9696.179896235466,2783.719422221184
7,43,9023.693408370018,3113.2765752077103,9191.81503033638,3168.2027673721313
8,45,9023.693408370018,3058.350383043289,9191.81503033638,3113.2765752077103
9,51,9023.693408370018,3003.424190878868,9191.81503033638,3058.350383043289
10,58,8519.328542470932,3058.350383043289,8687.450164437294,3113.2765752077103
11,60,8687.450164437294,3003.424190878868,8855.571786403656,3058.350383043289
12,62,8687.450164437294,2948.497998714447,8855.571786403656,3003.424190878868
13,68,9359.936652302742,2893.571806550026,9528.058274269104,2948.497998714447
14,71,9191.81503033638,2838.645614385605,9359.936652302742,2893.571806550026
15,75,8855.571786403656,2838.645614385605,9023.693408370018,2893.571806550026
16,86,8687.450164437294,2838.645614385605,8855.571786403656,2893.571806550026
17,92,8687.450164437294,2783.719422221184,8855.571786403656,2838.645614385605
18,95,8519.328542470932,2728.7932300567627,8687.450164437294,2783.719422221184
19,96,8351.20692050457,2783.719422221184,8519.328542470932,2838.645614385605
20,99,8183.085298538208,2728.7932300567627,8351.20692050457,2783.719422221184
21,107,7678.720432639122,3003.424190878868,7846.842054605484,3058.350383043289
22,108,7510.59881067276,3003.424190878868,7678.720432639122,3058.350383043289
23,113,7342.477188706398,2948.497998714447,7510.59881067276,3003.424190878868
24,120,7678.720432639122,2893.571806550026,7846.842054605484,2948.497998714447
25,122,7678.720432639122,2838.645614385605,7846.842054605484,2893.571806550026
26,127,7846.842054605484,2728.7932300567627,8014.963676571846,2783.719422221184
27,129,7510.59881067276,2783.719422221184,7678.720432639122,2838.645614385605
28,131,7510.59881067276,2728.7932300567627,7678.720432639122,2783.719422221184
29,132,7342.477188706398,2893.571806550026,7510.59881067276,2948.497998714447
30,145,6838.112322807312,2783.719422221184,7006.233944773674,2838.645614385605
31,146,7006.233944773674,2728.7932300567627,7174.355566740036,2783.719422221184
32,148,6165.625834941864,2948.497998714447,6838.112322807312,3168.2027673721313
33,154,6165.625834941864,2893.571806550026,6333.747456908226,2948.497998714447
34,157,6669.99070084095,2783.719422221184,6838.112322807312,2838.645614385605
35,158,6501.869078874588,2783.719422221184,6669.99070084095,2838.645614385605
36,163,6333.747456908226,2728.7932300567627,6501.869078874588,2783.719422221184
37,165,5997.504212975502,2893.571806550026,6165.625834941864,2948.497998714447
38,170,5997.504212975502,2783.719422221184,6165.625834941864,2838.645614385605
39,171,5829.38259100914,2783.719422221184,5997.504212975502,2838.645614385605
40,175,5493.139347076416,2783.719422221184,5661.260969042778,2838.645614385605
41,177,5493.139347076416,2728.7932300567627,5661.260969042778,2783.719422221184
42,190,9696.179896235466,2509.0884613990784,9864.301518201828,2564.0146535634995
43,211,9359.936652302742,2618.9408457279205,9528.058274269104,2673.8670378923416
44,215,9023.693408370018,2618.9408457279205,9191.81503033638,2673.8670378923416
45,217,9359.936652302742,2564.0146535634995,9528.058274269104,2618.9408457279205
46,221,9023.693408370018,2564.0146535634995,9191.81503033638,2618.9408457279205
47,224,8855.571786403656,2509.0884613990784,9023.693408370018,2564.0146535634995
48,229,8351.20692050457,2673.8670378923416,8519.328542470932,2728.7932300567627
49,232,8183.085298538208,2618.9408457279205,8351.20692050457,2673.8670378923416
50,238,8183.085298538208,2564.0146535634995,8351.20692050457,2618.9408457279205
51,243,9359.936652302742,2399.236077070236,9528.058274269104,2454.1622692346573
52,245,9023.693408370018,2454.1622692346573,9191.81503033638,2509.0884613990784
53,246,8855.571786403656,2454.1622692346573,9023.693408370018,2509.0884613990784
54,247,9023.693408370018,2399.236077070236,9191.81503033638,2454.1622692346573
55,250,9191.81503033638,2344.309884905815,9359.936652302742,2399.236077070236
56,257,8687.450164437294,2454.1622692346573,8855.571786403656,2509.0884613990784
57,260,8519.328542470932,2399.236077070236,8687.450164437294,2454.1622692346573
58,262,8183.085298538208,2454.1622692346573,8351.20692050457,2509.0884613990784
59,264,8183.085298538208,2399.236077070236,8351.20692050457,2454.1622692346573
60,270,8183.085298538208,2344.309884905815,8351.20692050457,2399.236077070236
61,272,8183.085298538208,2289.383692741394,8351.20692050457,2344.309884905815
62,281,9528.058274269104,2179.531308412552,9696.179896235466,2234.457500576973
63,294,9359.936652302742,2179.531308412552,9528.058274269104,2234.457500576973
64,298,9023.693408370018,2179.531308412552,9191.81503033638,2234.457500576973
65,299,8855.571786403656,2179.531308412552,9023.693408370018,2234.457500576973
66,308,8687.450164437294,2234.457500576973,8855.571786403656,2289.383692741394
67,316,8687.450164437294,2124.605116248131,8855.571786403656,2179.531308412552
68,317,8519.328542470932,2124.605116248131,8687.450164437294,2179.531308412552
69,318,8687.450164437294,2069.6789240837097,8855.571786403656,2124.605116248131
70,329,8855.571786403656,2014.7527319192886,9023.693408370018,2069.6789240837097
71,332,9359.936652302742,1904.9003475904465,9528.058274269104,1959.8265397548676
72,341,8519.328542470932,2014.7527319192886,8687.450164437294,2069.6789240837097
73,343,8519.328542470932,1959.8265397548676,8687.450164437294,2014.7527319192886
74,351,8519.328542470932,1849.9741554260254,8687.450164437294,1904.9003475904465
75,354,8351.20692050457,1849.9741554260254,8519.328542470932,1904.9003475904465
76,355,8183.085298538208,1849.9741554260254,8351.20692050457,1904.9003475904465
77,356,8014.963676571846,2673.8670378923416,8183.085298538208,2728.7932300567627
78,357,7846.842054605484,2673.8670378923416,8014.963676571846,2728.7932300567627
79,359,7846.842054605484,2618.9408457279205,8014.963676571846,2673.8670378923416
80,362,7678.720432639122,2618.9408457279205,7846.842054605484,2673.8670378923416
81,367,7846.842054605484,2509.0884613990784,8014.963676571846,2564.0146535634995
82,370,7678.720432639122,2509.0884613990784,7846.842054605484,2564.0146535634995
83,372,7342.477188706398,2673.8670378923416,7510.59881067276,2728.7932300567627
84,377,6838.112322807312,2673.8670378923416,7006.233944773674,2728.7932300567627
85,386,7006.233944773674,2509.0884613990784,7174.355566740036,2564.0146535634995
86,388,8014.963676571846,2454.1622692346573,8183.085298538208,2509.0884613990784
87,390,8014.963676571846,2399.236077070236,8183.085298538208,2454.1622692346573
88,395,7510.59881067276,2399.236077070236,7678.720432639122,2454.1622692346573
89,398,8014.963676571846,2289.383692741394,8183.085298538208,2344.309884905815
90,401,7510.59881067276,2344.309884905815,7678.720432639122,2399.236077070236
91,403,7510.59881067276,2289.383692741394,7678.720432639122,2344.309884905815
92,406,7342.477188706398,2399.236077070236,7510.59881067276,2454.1622692346573
93,409,6838.112322807312,2454.1622692346573,7006.233944773674,2509.0884613990784
94,421,6501.869078874588,2673.8670378923416,6669.99070084095,2728.7932300567627
95,422,6669.99070084095,2618.9408457279205,6838.112322807312,2673.8670378923416
96,423,6501.869078874588,2618.9408457279205,6669.99070084095,2673.8670378923416
97,425,6165.625834941864,2673.8670378923416,6333.747456908226,2728.7932300567627
98,457,6165.625834941864,2454.1622692346573,6333.747456908226,2509.0884613990784
99,470,5997.504212975502,2399.236077070236,6165.625834941864,2454.1622692346573
100,476,5997.504212975502,2344.309884905815,6165.625834941864,2399.236077070236
101,478,5997.504212975502,2289.383692741394,6165.625834941864,2344.309884905815
102,480,5661.260969042778,2344.309884905815,5829.38259100914,2399.236077070236
103,481,5493.139347076416,2344.309884905815,5661.260969042778,2399.236077070236
104,491,7510.59881067276,2179.531308412552,7678.720432639122,2234.457500576973
105,495,7846.842054605484,2069.6789240837097,8014.963676571846,2124.605116248131
106,499,7510.59881067276,2069.6789240837097,7678.720432639122,2124.605116248131
107,514,7846.842054605484,2014.7527319192886,8014.963676571846,2069.6789240837097
108,516,7846.842054605484,1959.8265397548676,8014.963676571846,2014.7527319192886
109,528,7510.59881067276,1849.9741554260254,7678.720432639122,1904.9003475904465
110,529,7342.477188706398,2014.7527319192886,7510.59881067276,2069.6789240837097
111,548,6838.112322807312,1959.8265397548676,6922.173133790493,1987.289635837078
112,551,7342.477188706398,1849.9741554260254,7510.59881067276,1904.9003475904465
113,552,7174.355566740036,1849.9741554260254,7342.477188706398,1904.9003475904465
114,561,7006.233944773674,1849.9741554260254,7174.355566740036,1904.9003475904465
115,562,6838.112322807312,1849.9741554260254,7006.233944773674,1904.9003475904465
116,568,6165.625834941864,2234.457500576973,6333.747456908226,2289.383692741394
117,569,6333.747456908226,2179.531308412552,6501.869078874588,2234.457500576973
118,570,6165.625834941864,2179.531308412552,6333.747456908226,2234.457500576973
119,575,6333.747456908226,2124.605116248131,6501.869078874588,2179.531308412552
120,578,6165.625834941864,2069.6789240837097,6333.747456908226,2124.605116248131
121,579,5997.504212975502,2234.457500576973,6165.625834941864,2289.383692741394
122,592,5493.139347076416,2124.605116248131,5661.260969042778,2179.531308412552
123,593,5661.260969042778,2069.6789240837097,5829.38259100914,2124.605116248131
124,601,6333.747456908226,1959.8265397548676,6501.869078874588,2014.7527319192886
125,602,6165.625834941864,1959.8265397548676,6333.747456908226,2014.7527319192886
126,607,6333.747456908226,1904.9003475904465,6501.869078874588,1959.8265397548676
127,610,6165.625834941864,1849.9741554260254,6333.747456908226,1904.9003475904465
128,615,5661.260969042778,2014.7527319192886,5829.38259100914,2069.6789240837097
129,616,5493.139347076416,2014.7527319192886,5661.260969042778,2069.6789240837097
130,646,5156.896103143692,2838.645614385605,5493.139347076416,2948.497998714447
131,647,4820.652859210968,2838.645614385605,5156.896103143692,2948.497998714447
132,649,5156.896103143692,2783.719422221184,5325.017725110054,2838.645614385605
133,652,4988.77448117733,2783.719422221184,5156.896103143692,2838.645614385605
134,658,4484.409615278244,2783.719422221184,4652.531237244606,2838.645614385605
135,660,4484.409615278244,2728.7932300567627,4652.531237244606,2783.719422221184
136,671,3980.044749379158,2728.7932300567627,4148.16637134552,2783.719422221184
137,676,3475.679883480072,2728.7932300567627,3643.801505446434,2783.719422221184
138,678,2971.315017580986,2783.719422221184,3139.436639547348,2838.645614385605
139,679,2803.193395614624,2783.719422221184,2971.315017580986,2838.645614385605
140,681,2803.193395614624,2728.7932300567627,2971.315017580986,2783.719422221184
