Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,15,4,23,<=6,4,7,0.03541754996299745,17.5579,87.4568,4.98,50,1,0.1667,1,0.1512,1,0.0458,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,15,4,23,<=6,4,11,0.07641545172929765,17.8775,86.5686,4.84,50,0,0.0,1,0.0526,1,0.0184,xenium_human_lymph_node_5k_seed1
Contiguous Random,16,7,43,<=6,5,6,0.06440839324874395,23.4489,96.1127,4.1,50,1,0.1111,1,0.0714,1,0.0192,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,16,7,43,<=6,5,19,0.08761039751191829,21.7713,98.4519,4.52,50,0,0.0,1,0.0424,1,0.0146,xenium_human_lymph_node_5k_seed1
Contiguous Random,17,0,5,<=6,6,18,0.07002381331375612,26.7251,109.4587,4.1,50,1,0.069,1,0.0767,1,0.0132,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,17,0,5,<=6,6,13,0.06457000094386214,25.813,107.6832,4.17,50,1,0.0909,1,0.0293,1,0.0106,xenium_human_lymph_node_5k_seed1
Contiguous Random,18,11,32,<=6,4,33,0.08012624417781827,19.8995,87.1458,4.38,50,0,0.0,1,0.0464,1,0.0164,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,18,11,32,<=6,4,1,3.570184707646362e-06,17.2221,87.5188,5.08,50,1,0.75,1,0.25,1,0.0378,xenium_human_lymph_node_5k_seed1
Contiguous Random,19,8,10,<=6,5,6,0.04232935216557965,24.3972,98.4063,4.03,50,1,0.25,1,0.1382,1,0.0224,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,19,8,10,<=6,5,1,2.509982316600823e-06,22.9786,97.0694,4.22,50,1,0.0952,1,0.0821,1,0.0156,xenium_human_lymph_node_5k_seed1
Contiguous Random,20,7,21,<=6,6,4,0.08210893944438186,28.025,109.1302,3.89,50,1,0.3333,1,0.1261,1,0.016,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,20,7,21,<=6,6,1,-1.527265209078088e-06,25.5301,106.2276,4.16,50,1,0.1389,1,0.0668,1,0.0101,xenium_human_lymph_node_5k_seed1
Contiguous Random,21,4,0,<=6,4,4,0.09406818911075593,17.7392,87.2308,4.92,50,0,0.0,1,0.2222,1,0.1007,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,21,4,0,<=6,4,1,1.9764852523806997e-06,20.005,84.2531,4.21,50,1,0.75,1,0.7143,1,0.3,xenium_human_lymph_node_5k_seed1
Contiguous Random,22,0,33,<=6,5,11,0.04903187350364058,26.2703,96.1412,3.66,50,1,0.08,1,0.1,1,0.0155,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,22,0,33,<=6,5,9,0.09007201730122388,24.5159,95.833,3.91,50,0,0.0,1,0.1,1,0.0191,xenium_human_lymph_node_5k_seed1
Contiguous Random,23,5,26,<=6,5,3,0.01799737174381294,23.4753,95.6008,4.07,50,1,0.0286,1,0.0442,1,0.0165,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,23,5,26,<=6,5,22,0.054609657461987426,23.4277,96.1798,4.11,50,1,0.0455,1,0.0415,1,0.0137,xenium_human_lymph_node_5k_seed1
Contiguous Random,24,1,23,<=6,5,2,0.01968559644850615,25.8292,94.7987,3.67,50,1,0.2353,1,0.0909,1,0.0169,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,24,1,23,<=6,5,1,2.0268725810512755e-06,26.3562,95.7142,3.63,50,1,0.1556,1,0.0724,1,0.0124,xenium_human_lymph_node_5k_seed1
Contiguous Random,25,6,7,<=6,4,9,0.04376961917877198,24.1476,84.7343,3.51,50,1,0.129,1,0.0661,1,0.0155,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,25,6,7,<=6,4,7,0.049899077816009524,20.3167,84.5332,4.16,50,1,0.0714,1,0.0351,1,0.0189,xenium_human_lymph_node_5k_seed1
Contiguous Random,26,11,9,<=6,5,14,0.053544442389008906,21.776,94.4154,4.34,50,1,0.0667,1,0.0344,1,0.0125,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,26,11,9,<=6,5,37,0.09115367504843136,23.8652,94.1471,3.94,50,0,0.0,1,0.0245,1,0.0095,xenium_human_lymph_node_5k_seed1
Contiguous Random,27,7,33,<=6,5,31,0.09468806351238601,25.4267,93.3171,3.67,50,0,0.0,1,0.0395,1,0.0145,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,27,7,33,<=6,5,91,0.1515811594567345,26.0683,94.3793,3.62,50,0,0.0,1,0.0094,1,0.0114,xenium_human_lymph_node_5k_seed1
Contiguous Random,28,11,23,<=6,5,1,-3.2929432952633064e-06,25.3615,93.666,3.69,50,1,0.2778,1,0.1695,1,0.025,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,28,11,23,<=6,5,1,-3.64501301680642e-06,23.401,93.3371,3.99,50,1,0.6667,1,0.3333,1,0.0459,xenium_human_lymph_node_5k_seed1
Contiguous Random,29,9,3,<=6,4,11,0.07865923096656799,24.7556,84.6257,3.42,50,0,0.0,1,0.0455,1,0.0325,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,29,9,3,<=6,4,2,0.00073949146270752,21.2108,84.1105,3.97,50,1,0.2381,1,0.0677,1,0.0265,xenium_human_lymph_node_5k_seed1
Contiguous Random,30,11,19,<=6,6,1,2.58864941127257e-06,25.4745,102.0141,4.0,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,30,11,19,<=6,6,1,1.5831310538061416e-06,24.8488,102.7272,4.13,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_5k_seed1
Contiguous Random,31,11,29,<=6,4,6,0.042303509602546696,18.5275,84.4833,4.56,50,1,0.0625,1,0.0451,1,0.0177,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,31,11,29,<=6,4,4,0.07880356226444243,17.6536,83.7168,4.74,50,0,0.0,1,0.0909,1,0.0288,xenium_human_lymph_node_5k_seed1
Contiguous Random,32,9,1,<=6,4,1,1.678543090827267e-06,17.9319,83.7245,4.67,50,1,0.5,1,0.6923,1,0.561,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,32,9,1,<=6,4,2,0.04092254450798036,17.7451,84.0718,4.74,50,1,0.75,1,0.4615,1,0.3766,xenium_human_lymph_node_5k_seed1
Contiguous Random,33,2,38,<=6,5,78,0.09947253520720567,19.2136,93.2488,4.85,50,0,0.0,1,0.0096,1,0.0089,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,33,2,38,<=6,5,7,0.04361764573670379,23.3806,93.7952,4.01,50,1,0.0833,1,0.0952,1,0.0143,xenium_human_lymph_node_5k_seed1
Contiguous Random,34,6,45,<=6,4,2,0.007430474157333361,18.3903,84.2287,4.58,50,1,0.1,1,0.1639,1,0.0451,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,34,6,45,<=6,4,30,0.16444388574600222,19.7363,84.6374,4.29,50,0,0.0,0,0.0,1,0.0441,xenium_human_lymph_node_5k_seed1
Contiguous Random,35,0,8,<=6,4,6,0.028731299371719365,22.5099,84.372,3.75,50,1,0.0312,1,0.0296,1,0.0185,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,35,0,8,<=6,4,40,0.13078639635562894,19.5543,84.4254,4.32,50,0,0.0,1,0.0769,1,0.0202,xenium_human_lymph_node_5k_seed1
Contiguous Random,36,10,21,<=6,4,3,0.026222716593742368,20.055,84.2174,4.2,50,1,0.2,1,0.0833,1,0.0441,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,36,10,21,<=6,4,8,0.041924859824180594,21.0021,84.4864,4.02,50,1,0.0556,1,0.069,1,0.0499,xenium_human_lymph_node_5k_seed1
Contiguous Random,37,2,11,<=6,5,4,0.013556839262444081,21.726,94.1682,4.33,50,1,0.2059,1,0.0569,1,0.0124,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,37,2,11,<=6,5,2,0.004294647491207559,23.5793,94.643,4.01,50,1,0.2045,1,0.0683,1,0.0139,xenium_human_lymph_node_5k_seed1
Contiguous Random,38,2,16,<=6,5,1,-3.2265923405327968e-06,24.7364,94.0159,3.8,50,1,0.1429,1,0.0688,1,0.0161,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,38,2,16,<=6,5,2,0.010937727697700128,22.7089,95.0718,4.19,50,1,0.0962,1,0.0576,1,0.0125,xenium_human_lymph_node_5k_seed1
Contiguous Random,39,0,17,<=6,5,29,0.07495646833078831,26.6182,93.5438,3.51,50,1,0.0294,1,0.0189,1,0.0097,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,39,0,17,<=6,5,8,0.02929468301292512,25.0243,94.0184,3.76,50,1,0.1154,1,0.1023,1,0.014,xenium_human_lymph_node_5k_seed1
Contiguous Random,40,4,24,<=6,4,73,0.14087710413932802,21.347,84.7243,3.97,50,0,0.0,1,0.0137,1,0.0059,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,40,4,24,<=6,4,25,0.04795085781574249,16.1175,84.5748,5.25,50,1,0.0364,1,0.0278,1,0.0112,xenium_human_lymph_node_5k_seed1
Contiguous Random,41,8,25,<=6,4,18,0.05336771375179292,24.3329,83.95,3.45,50,1,0.027,1,0.0321,1,0.012,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,41,8,25,<=6,4,1,2.2945785522476836e-06,20.9455,84.2923,4.02,50,1,0.0732,1,0.0352,1,0.0126,xenium_human_lymph_node_5k_seed1
Contiguous Random,42,10,46,<=6,6,64,0.10222555995503341,22.1409,102.2145,4.62,50,0,0.0,1,0.0227,1,0.0089,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,42,10,46,<=6,6,45,0.05888317031367735,22.5803,102.4425,4.54,50,1,0.0227,1,0.0136,1,0.0082,xenium_human_lymph_node_5k_seed1
Contiguous Random,43,1,38,<=6,4,15,0.04804655083179474,17.3502,84.6237,4.88,50,0,0.0,1,0.0217,1,0.0274,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,43,1,38,<=6,4,11,0.12990177018165588,21.8241,84.2617,3.86,50,0,0.0,0,0.0,1,0.041,xenium_human_lymph_node_5k_seed1
Contiguous Random,44,6,2,<=6,4,15,0.050626882948875435,19.1224,83.8635,4.39,50,1,0.0938,1,0.0667,1,0.0232,xenium_human_lymph_node_5k_seed1
