Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,15,3,10,<=6,4,1,-1.0209274292072301e-06,6.0146,25.6619,4.27,50,1,0.5,1,0.3023,1,0.0934,xenium_human_lymph_node_seed2
Contiguous Random,16,4,7,<=6,4,18,0.14367367978572848,5.5775,25.4302,4.56,50,1,0.05,1,0.0612,1,0.0372,xenium_human_lymph_node_seed2
Non-Contiguous Random,16,4,7,<=6,4,7,0.04137369390487666,5.858,25.306,4.32,50,1,0.3864,1,0.3696,1,0.25,xenium_human_lymph_node_seed2
Contiguous Random,17,1,5,<=6,4,1,0.0,4.0241,25.1096,6.24,50,1,0.7561,1,0.7547,1,0.6944,xenium_human_lymph_node_seed2
Non-Contiguous Random,17,1,5,<=6,4,1,0.0,4.8821,25.2193,5.17,50,1,0.9355,1,0.85,1,0.7833,xenium_human_lymph_node_seed2
Contiguous Random,18,1,1,<=6,5,1,-3.037684888632791e-06,5.0636,25.7639,5.09,50,1,1.0,1,0.75,1,0.64,xenium_human_lymph_node_seed2
Non-Contiguous Random,18,1,1,<=6,5,1,4.029834859076847e-06,5.5962,25.933,4.63,50,1,1.0,1,0.9583,1,0.9245,xenium_human_lymph_node_seed2
Contiguous Random,19,1,2,<=6,6,1,2.2468771247036168e-07,6.0431,28.1787,4.66,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,19,1,2,<=6,6,1,0.0,5.6113,27.6367,4.93,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,20,0,5,<=6,6,1,2.747231571481601e-06,5.7428,28.716,5.0,50,1,1.0,1,0.5,1,0.4375,xenium_human_lymph_node_seed2
Non-Contiguous Random,20,0,5,<=6,6,2,0.25460742816071946,5.7388,28.7543,5.01,50,0,0.0,1,0.25,1,0.3707,xenium_human_lymph_node_seed2
Contiguous Random,21,2,1,<=6,5,1,3.604712714322389e-06,5.1812,26.1533,5.05,50,1,0.7273,1,0.5152,1,0.5213,xenium_human_lymph_node_seed2
Non-Contiguous Random,21,2,1,<=6,5,1,-3.598991801745388e-06,6.1079,25.7266,4.21,50,1,1.0,1,0.871,1,0.7463,xenium_human_lymph_node_seed2
Contiguous Random,22,4,18,<=6,6,1,-2.686142055674523e-06,7.5753,30.82,4.07,50,1,0.2128,1,0.0503,1,0.0292,xenium_human_lymph_node_seed2
Non-Contiguous Random,22,4,18,<=6,6,24,0.3255105920600473,8.9743,31.1394,3.47,50,0,0.0,1,0.0213,1,0.0307,xenium_human_lymph_node_seed2
Contiguous Random,23,3,16,<=6,5,29,0.15194653554923027,4.7046,28.6472,6.09,50,0,0.0,1,0.0196,1,0.0616,xenium_human_lymph_node_seed2
Non-Contiguous Random,23,3,16,<=6,5,1,1.990615037417154e-06,5.997,27.907,4.65,50,1,1.0,1,0.7,1,0.1808,xenium_human_lymph_node_seed2
Contiguous Random,24,4,7,<=6,6,1,1.5426474829216552e-06,7.9196,29.2707,3.7,50,1,0.875,1,0.9032,1,0.5765,xenium_human_lymph_node_seed2
Non-Contiguous Random,24,4,7,<=6,6,1,4.7791860691703825e-06,9.0874,29.3354,3.23,50,1,0.3571,1,0.2453,1,0.0774,xenium_human_lymph_node_seed2
Contiguous Random,25,3,3,<=6,4,4,0.08267,5.7,25.0025,4.39,50,1,0.25,1,0.4286,1,0.2619,xenium_human_lymph_node_seed2
Non-Contiguous Random,25,3,3,<=6,4,1,-4.4383931160005274e-06,4.8519,24.8482,5.12,50,1,0.5714,1,0.2759,1,0.1481,xenium_human_lymph_node_seed2
Contiguous Random,26,1,12,<=6,5,1,-4.109395140505789e-06,6.5222,28.387,4.35,50,1,0.3333,1,0.0526,1,0.045,xenium_human_lymph_node_seed2
Non-Contiguous Random,26,1,12,<=6,5,31,0.2314094980821753,6.3499,28.1983,4.44,50,0,0.0,1,0.0753,1,0.0408,xenium_human_lymph_node_seed2
Contiguous Random,27,3,8,<=6,6,2,0.009374336769509217,7.2048,29.2639,4.06,50,1,0.5833,1,0.5588,1,0.3006,xenium_human_lymph_node_seed2
Non-Contiguous Random,27,3,8,<=6,6,1,4.548402482096314e-06,5.8083,29.4509,5.07,50,1,0.6,1,0.5,1,0.2781,xenium_human_lymph_node_seed2
Contiguous Random,28,0,16,<=6,4,2,0.02009983801841736,5.535,26.25,4.74,50,1,0.5,1,0.3462,1,0.1962,xenium_human_lymph_node_seed2
Non-Contiguous Random,28,0,16,<=6,4,2,0.009847727394104,5.9012,26.3102,4.46,50,1,0.2333,1,0.1756,1,0.0395,xenium_human_lymph_node_seed2
Contiguous Random,29,1,8,<=6,6,4,0.10991191717078036,6.1343,29.7863,4.86,50,1,0.087,1,0.0398,1,0.0411,xenium_human_lymph_node_seed2
Non-Contiguous Random,29,1,8,<=6,6,1,7.506156297631961e-07,6.3164,29.6564,4.7,50,1,0.1481,1,0.0541,1,0.037,xenium_human_lymph_node_seed2
Contiguous Random,30,1,11,<=6,4,32,0.2832297848176956,7.2806,25.9141,3.56,50,0,0.0,1,0.0278,1,0.0457,xenium_human_lymph_node_seed2
Non-Contiguous Random,30,1,11,<=6,4,10,0.0914999491596222,5.1972,25.3123,4.87,50,1,0.0909,1,0.099,1,0.0453,xenium_human_lymph_node_seed2
Contiguous Random,31,4,10,<=6,6,1,2.4294136383717913e-06,8.117,29.6322,3.65,50,1,1.0,1,0.8571,1,0.9,xenium_human_lymph_node_seed2
Non-Contiguous Random,31,4,10,<=6,6,1,-3.7723758996577317e-06,7.8031,29.5264,3.78,50,1,1.0,1,0.6667,1,0.9,xenium_human_lymph_node_seed2
Contiguous Random,32,3,4,<=6,5,7,0.05145983199028237,5.071,26.5783,5.24,50,1,0.08,1,0.1036,1,0.1037,xenium_human_lymph_node_seed2
Non-Contiguous Random,32,3,4,<=6,5,5,3.4253881504179398,4.9486,26.3586,5.33,50,0,0.0,0,0.0,0,0.0,xenium_human_lymph_node_seed2
Contiguous Random,33,0,20,<=6,5,52,0.26337120876978565,4.5987,27.9071,6.07,50,0,0.0,0,0.0,1,0.0256,xenium_human_lymph_node_seed2
Non-Contiguous Random,33,0,20,<=6,5,2,0.01917859358626889,8.0606,27.9786,3.47,50,1,0.625,1,0.5,1,0.375,xenium_human_lymph_node_seed2
Contiguous Random,34,0,2,<=6,4,1,0.0,5.0855,24.1937,4.76,50,1,0.2183,1,0.2183,1,0.2183,xenium_human_lymph_node_seed2
Non-Contiguous Random,34,0,2,<=6,4,1,0.0,4.5757,23.9507,5.23,50,1,0.1938,1,0.1938,1,0.1938,xenium_human_lymph_node_seed2
Contiguous Random,35,3,3,<=6,4,2,0.009481425779163838,4.6957,24.4067,5.2,50,1,0.6,1,0.5882,1,0.3952,xenium_human_lymph_node_seed2
Non-Contiguous Random,35,3,3,<=6,4,1,1.939834356305681e-06,4.2219,24.4909,5.8,50,1,0.5,1,0.3636,1,0.2661,xenium_human_lymph_node_seed2
Contiguous Random,36,4,2,<=6,6,3,0.014791126195902171,6.2911,27.6623,4.4,50,1,0.5385,1,0.6176,1,0.6024,xenium_human_lymph_node_seed2
Non-Contiguous Random,36,4,2,<=6,6,1,-8.59813256176567e-07,5.9828,27.197,4.55,50,1,0.8571,1,0.7917,1,0.5568,xenium_human_lymph_node_seed2
