Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,2,10,<=6,5,1,-1.5904213657574884e-06,3.6319,9.852,2.71,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,0,2,10,<=6,5,1,-4.703662207672377e-06,2.8382,9.8156,3.46,50,1,1.0,1,1.0,1,0.8788,xenium_human_skin_melanoma_seed0
Contiguous Random,1,1,4,<=6,5,1,2.1410110848663066e-06,2.9648,9.2911,3.13,50,1,1.0,1,1.0,1,0.8889,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,1,1,4,<=6,5,1,0.0,2.9724,9.2411,3.11,50,1,0.7385,1,0.7385,1,0.7385,xenium_human_skin_melanoma_seed0
Contiguous Random,2,1,11,<=6,4,7,0.09327065934181211,3.7658,9.3594,2.49,50,1,0.32,1,0.2239,1,0.1012,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,2,1,11,<=6,4,17,0.1518903350162506,2.9558,9.3783,3.17,50,1,0.0476,1,0.0733,1,0.0833,xenium_human_skin_melanoma_seed0
Contiguous Random,3,2,8,<=6,4,1,7.466888427565266e-07,2.6417,9.2736,3.51,50,1,0.3333,1,0.4,1,0.2692,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,3,2,8,<=6,4,1,2.392559051545007e-06,2.9077,9.2298,3.17,50,1,1.0,1,1.0,1,0.9167,xenium_human_skin_melanoma_seed0
Contiguous Random,4,1,1,<=6,4,1,0.0,2.5684,8.6161,3.35,50,1,0.2809,1,0.2809,1,0.2809,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,4,1,1,<=6,4,1,0.0,2.7694,8.6323,3.12,50,1,0.3311,1,0.3311,1,0.3311,xenium_human_skin_melanoma_seed0
Contiguous Random,5,0,3,<=6,5,1,1.9598062147019313e-06,2.3377,9.1364,3.91,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,5,0,3,<=6,5,1,-2.9940694576055527e-06,2.7681,9.1658,3.31,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed0
Contiguous Random,6,2,7,<=6,5,12,0.22836702373104234,3.163,9.8932,3.13,50,0,0.0,1,0.2388,1,0.1111,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,6,2,7,<=6,5,3,0.06216889375704543,2.525,9.991,3.96,50,1,0.04,1,0.0687,1,0.0782,xenium_human_skin_melanoma_seed0
Contiguous Random,7,2,7,<=6,5,1,-2.6057879107810322e-06,2.8775,9.9742,3.47,50,1,0.8125,1,0.7778,1,0.6571,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,7,2,7,<=6,5,5,0.05348875339686565,3.5532,10.0377,2.82,50,1,0.0588,1,0.0933,1,0.0836,xenium_human_skin_melanoma_seed0
Contiguous Random,8,2,13,<=6,4,2,0.037748380889892574,2.521,9.3334,3.7,50,1,0.125,1,0.0989,1,0.0918,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,8,2,13,<=6,4,10,0.19651716411590575,3.3318,9.3478,2.81,50,0,0.0,1,0.1639,1,0.116,xenium_human_skin_melanoma_seed0
Contiguous Random,9,2,7,<=6,5,1,-3.4412445963916127e-06,2.8713,9.9781,3.48,50,1,1.0,1,0.963,1,0.9375,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,9,2,7,<=6,5,1,1.5722032353782112e-06,4.1624,10.1477,2.44,50,1,0.9167,1,0.931,1,0.9,xenium_human_skin_melanoma_seed0
Contiguous Random,10,1,14,<=6,6,60,0.4279421738420991,2.4858,11.2458,4.52,50,0,0.0,0,0.0,1,0.0556,xenium_human_skin_melanoma_seed0
Non-Contiguous Random,10,1,14,<=6,6,1,4.887859598401434e-06,3.5925,10.856,3.02,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed0
