dataset,n_seeds,mean_recall_at_eps_0.05,sd_recall_at_eps_0.05,mean_recall_at_eps_0.1,sd_recall_at_eps_0.1,mean_overlap_at_eps_0.1,sd_overlap_at_eps_0.1,mean_overlap_at_eps_0.25,sd_overlap_at_eps_0.25,mean_mean_speedup,sd_mean_speedup
xenium_human_brain_cancer,5,0.9027787716159811,0.0068589871572483085,0.9629417610812959,0.008366932534791593,0.3244390200755317,0.013137785367072465,0.26884578771615986,0.014698205609155114,8.091006851953143,0.4563451695790015
xenium_human_breast_cancer,5,0.9067439025160514,0.02168880327961034,0.9694350059484871,0.011891236469725393,0.42124664851143034,0.023787246396601146,0.31195623236437975,0.0292565168419599,5.94058281899853,0.2878951047679495
xenium_human_kidney_nondiseased,5,0.964242165544789,0.014768776635133726,0.9908044355861053,0.006148467699526281,0.6387142154131171,0.03780316312492276,0.5219622683176279,0.0291264206796,5.6800891892148755,0.16437527686751846
xenium_human_lung_cancer,5,0.9597832241478995,0.0125034956866402,0.9872807344361261,0.004016644825061246,0.5952358606314456,0.03962203530040045,0.44704883779065885,0.022451619465447718,5.570006743725765,0.22115743382470301
xenium_human_lymph_node,5,0.949561742483761,0.0068589027076408115,0.991846695091974,0.0033193261366782035,0.49854160266400704,0.024878793203332313,0.38570717270904187,0.02492339013144273,6.09475037678812,0.1977643141102628
xenium_human_lymph_node_5k,5,0.854528073965839,0.0313428731796007,0.9672249125726877,0.01135912138796106,0.1507933801305283,0.02391178104053723,0.08308139265018186,0.014927526133484048,7.338817584526419,1.0433977931847522
xenium_human_pancreatic_cancer,5,0.9586245251160228,0.01947547703133336,0.987758923168872,0.009593706415356121,0.490155452047267,0.027449181111652177,0.41238044235972227,0.021700357115920398,6.296070785550445,0.44433236918813135
xenium_human_skin_melanoma,5,0.8997108473833471,0.08623007246627706,0.9565084694511334,0.06164168314929093,0.5816304553826189,0.08056768862005352,0.4697412013609375,0.05283326970328748,4.846772927300121,0.7500552123953061
