Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,3,5,<=6,5,2,0.10859480247203568,5.815,22.2375,3.82,50,1,0.1667,1,0.2727,1,0.1618,xenium_human_breast_cancer_seed0
Non-Contiguous Random,0,3,5,<=6,5,26,0.30001976670619435,4.732,21.7343,4.59,50,0,0.0,1,0.0345,1,0.2903,xenium_human_breast_cancer_seed0
Contiguous Random,1,1,11,<=6,6,35,0.1856104440573253,5.5561,24.3097,4.38,50,1,0.037,1,0.0573,1,0.0505,xenium_human_breast_cancer_seed0
Non-Contiguous Random,1,1,11,<=6,6,1,4.5584449550606365e-06,8.2449,23.6928,2.87,50,1,0.8125,1,0.3689,1,0.0703,xenium_human_breast_cancer_seed0
Contiguous Random,2,1,2,<=6,5,1,3.435464902962898e-06,4.4144,20.8629,4.73,50,1,1.0,1,1.0,1,0.9286,xenium_human_breast_cancer_seed0
Non-Contiguous Random,2,1,2,<=6,5,2,0.030833505689553176,5.0068,21.1529,4.22,50,1,0.6667,1,0.7931,1,0.386,xenium_human_breast_cancer_seed0
Contiguous Random,3,2,10,<=6,6,1,-3.283230403716697e-06,5.3174,23.1917,4.36,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed0
Non-Contiguous Random,3,2,10,<=6,6,1,1.991655533828407e-07,4.801,22.9786,4.79,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed0
Contiguous Random,4,2,8,<=6,5,11,0.17212150325040942,5.2379,21.9534,4.19,50,1,0.0714,1,0.1264,1,0.072,xenium_human_breast_cancer_seed0
Non-Contiguous Random,4,2,8,<=6,5,1,-4.848864337825276e-07,5.6836,21.7452,3.83,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed0
Contiguous Random,5,0,1,<=6,4,1,1.1337661743049399e-06,4.5894,19.0449,4.15,50,1,0.6923,1,0.8214,1,0.7258,xenium_human_breast_cancer_seed0
Non-Contiguous Random,5,0,1,<=6,4,2,0.38167164329528813,4.9294,19.0092,3.86,50,0,0.0,1,0.5,1,0.5909,xenium_human_breast_cancer_seed0
Contiguous Random,6,0,0,<=6,6,1,3.0159563151610502e-06,4.7839,21.2207,4.44,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed0
Non-Contiguous Random,6,0,0,<=6,6,1,-1.713058187330363e-06,4.4105,20.116,4.56,50,1,1.0,1,0.8889,1,0.9545,xenium_human_breast_cancer_seed0
Contiguous Random,7,2,9,<=6,6,1,-3.748194393637938e-06,5.3132,22.571,4.25,50,1,1.0,1,0.8333,1,0.9024,xenium_human_breast_cancer_seed0
Non-Contiguous Random,7,2,9,<=6,6,3,0.03290123364868103,5.0595,22.5326,4.45,50,1,0.8182,1,0.8333,1,0.7679,xenium_human_breast_cancer_seed0
Contiguous Random,8,1,2,<=6,4,3,0.0685537837409973,3.4908,19.0994,5.47,50,1,0.25,1,0.1176,1,0.1361,xenium_human_breast_cancer_seed0
Non-Contiguous Random,8,1,2,<=6,4,24,0.4359882335472107,4.636,19.4362,4.19,50,0,0.0,0,0.0,1,0.1173,xenium_human_breast_cancer_seed0
Contiguous Random,9,0,15,<=6,5,23,0.14789779016093763,4.7612,21.7517,4.57,50,0,0.0,1,0.1,1,0.0621,xenium_human_breast_cancer_seed0
Non-Contiguous Random,9,0,15,<=6,5,4,0.08075776494285175,7.0424,21.7283,3.09,50,1,0.2857,1,0.2456,1,0.0943,xenium_human_breast_cancer_seed0
Contiguous Random,10,2,4,<=6,6,27,0.20855800880244457,4.805,23.5308,4.9,50,1,0.0333,1,0.0631,1,0.051,xenium_human_breast_cancer_seed0
Non-Contiguous Random,10,2,4,<=6,6,4,0.05982998800217032,6.5938,23.5717,3.57,50,1,0.0303,1,0.0667,1,0.0536,xenium_human_breast_cancer_seed0
Contiguous Random,11,0,11,<=6,4,5,0.10528576475143436,3.534,19.9246,5.64,50,1,0.2,1,0.24,1,0.1131,xenium_human_breast_cancer_seed0
Non-Contiguous Random,11,0,11,<=6,4,70,0.26748809581756594,4.6343,20.0302,4.32,50,0,0.0,1,0.0096,1,0.0092,xenium_human_breast_cancer_seed0
Contiguous Random,12,1,14,<=6,5,3,0.03162452984073594,5.8387,21.6396,3.71,50,1,0.1818,1,0.1512,1,0.1063,xenium_human_breast_cancer_seed0
Non-Contiguous Random,12,1,14,<=6,5,4,0.05849780169568003,5.7262,21.4523,3.75,50,1,0.2,1,0.1296,1,0.0859,xenium_human_breast_cancer_seed0
Contiguous Random,13,3,15,<=6,5,1,-4.660633705078077e-06,4.5537,20.7037,4.55,50,1,0.65,1,0.6458,1,0.5714,xenium_human_breast_cancer_seed0
Non-Contiguous Random,13,3,15,<=6,5,1,3.193318777981735e-06,4.949,21.1741,4.28,50,1,0.6667,1,0.5714,1,0.6538,xenium_human_breast_cancer_seed0
Contiguous Random,14,0,14,<=6,6,49,0.13800167108559613,4.0005,23.6587,5.91,50,1,0.0435,1,0.0475,1,0.032,xenium_human_breast_cancer_seed0
Non-Contiguous Random,14,0,14,<=6,6,1,-2.974494942575845e-07,5.8972,23.5759,4.0,50,1,0.1429,1,0.1167,1,0.0603,xenium_human_breast_cancer_seed0
Contiguous Random,15,1,15,<=6,4,20,0.1274810104751587,4.5554,20.1718,4.43,50,1,0.1039,1,0.0708,1,0.0311,xenium_human_breast_cancer_seed0
Non-Contiguous Random,15,1,15,<=6,4,1,-2.114953994769575e-06,5.4567,19.4451,3.56,50,1,0.2308,1,0.1188,1,0.0756,xenium_human_breast_cancer_seed0
Contiguous Random,16,1,5,<=6,5,4,0.04846501381115076,6.8811,21.6303,3.14,50,1,0.2182,1,0.1519,1,0.0457,xenium_human_breast_cancer_seed0
Non-Contiguous Random,16,1,5,<=6,5,8,0.08029655081901937,5.7922,21.4871,3.71,50,1,0.0943,1,0.0836,1,0.0487,xenium_human_breast_cancer_seed0
Contiguous Random,17,0,9,<=6,6,2,0.00680930502858057,5.5503,23.0608,4.15,50,1,0.5294,1,0.2286,1,0.0677,xenium_human_breast_cancer_seed0
Non-Contiguous Random,17,0,9,<=6,6,3,0.0314956396715661,4.8153,23.0303,4.78,50,1,0.6429,1,0.587,1,0.3652,xenium_human_breast_cancer_seed0
Contiguous Random,18,0,15,<=6,6,15,0.20017524283659477,5.2262,23.4622,4.49,50,0,0.0,1,0.0417,1,0.0238,xenium_human_breast_cancer_seed0
Non-Contiguous Random,18,0,15,<=6,6,91,0.30892285708338113,5.6603,23.5262,4.16,50,0,0.0,0,0.0,1,0.0259,xenium_human_breast_cancer_seed0
Contiguous Random,19,0,2,<=6,4,1,-3.201181888581872e-06,3.8719,19.31,4.99,50,1,1.0,1,1.0,1,0.9091,xenium_human_breast_cancer_seed0
Non-Contiguous Random,19,0,2,<=6,4,1,3.372816443442117e-06,4.202,19.1875,4.57,50,1,1.0,1,0.9333,1,0.9688,xenium_human_breast_cancer_seed0
Contiguous Random,20,1,10,<=6,5,4,0.030912419827231585,4.3857,21.8723,4.99,50,1,0.1481,1,0.1308,1,0.0645,xenium_human_breast_cancer_seed0
Non-Contiguous Random,20,1,10,<=6,5,5,0.11353855419429199,3.7477,21.9893,5.87,50,1,0.1333,1,0.0865,1,0.046,xenium_human_breast_cancer_seed0
Contiguous Random,21,0,12,<=6,6,3,0.026243913792992457,6.5187,23.3826,3.59,50,1,0.2353,1,0.1179,1,0.0417,xenium_human_breast_cancer_seed0
Non-Contiguous Random,21,0,12,<=6,6,1,-6.753018060301486e-07,7.3497,23.2992,3.17,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed0
Contiguous Random,22,2,6,<=6,6,31,0.14674496379023305,5.3479,23.1458,4.33,50,1,0.0274,1,0.0554,1,0.0512,xenium_human_breast_cancer_seed0
Non-Contiguous Random,22,2,6,<=6,6,49,0.15996595381220047,6.5948,23.176,3.51,50,1,0.0225,1,0.0173,1,0.047,xenium_human_breast_cancer_seed0
Contiguous Random,23,0,12,<=6,6,3,0.03920437544109312,5.09,23.2394,4.57,50,1,0.32,1,0.3684,1,0.3197,xenium_human_breast_cancer_seed0
Non-Contiguous Random,23,0,12,<=6,6,1,4.2408578454222745e-06,6.9344,23.2538,3.35,50,1,1.0,1,1.0,1,0.7778,xenium_human_breast_cancer_seed0
Contiguous Random,24,3,12,<=6,6,92,0.3019025499955436,7.7863,23.7676,3.05,50,0,0.0,1,0.0322,1,0.0346,xenium_human_breast_cancer_seed0
Non-Contiguous Random,24,3,12,<=6,6,3,0.013417449647060486,7.2329,23.6345,3.27,50,1,0.1343,1,0.0747,1,0.0315,xenium_human_breast_cancer_seed0
Contiguous Random,25,1,4,<=6,6,5,0.092329318291972,4.7024,23.0691,4.91,50,1,0.1429,1,0.1268,1,0.0595,xenium_human_breast_cancer_seed0
Non-Contiguous Random,25,1,4,<=6,6,9,0.30436471278818855,4.9649,23.1789,4.67,50,0,0.0,1,0.1111,1,0.0768,xenium_human_breast_cancer_seed0
Contiguous Random,26,3,8,<=6,4,14,0.173628157787323,3.8424,20.1997,5.26,50,0,0.0,1,0.1053,1,0.0524,xenium_human_breast_cancer_seed0
Non-Contiguous Random,26,3,8,<=6,4,8,0.07279542887687684,4.1651,20.1935,4.85,50,1,0.0833,1,0.0776,1,0.0409,xenium_human_breast_cancer_seed0
Contiguous Random,27,3,4,<=6,6,2,0.012725210316750168,5.8622,22.6087,3.86,50,1,0.6111,1,0.4308,1,0.1326,xenium_human_breast_cancer_seed0
Non-Contiguous Random,27,3,4,<=6,6,5,0.043410655109852425,7.6604,22.6326,2.95,50,1,0.3462,1,0.2126,1,0.1022,xenium_human_breast_cancer_seed0
Contiguous Random,28,3,1,<=6,5,1,-2.735543997378631e-06,4.1709,20.3089,4.87,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed0
