Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,2,6,<=6,4,1,-1.8400001525753495e-06,3.909,20.5035,5.25,50,1,0.2308,1,0.1538,1,0.0873,xenium_human_breast_cancer_seed3
Non-Contiguous Random,0,2,6,<=6,4,2,0.017144790315628045,4.1169,20.0665,4.87,50,1,0.2941,1,0.1385,1,0.1162,xenium_human_breast_cancer_seed3
Contiguous Random,1,2,6,<=6,6,22,0.14391357551591322,5.5086,24.3114,4.41,50,1,0.1875,1,0.0912,1,0.0545,xenium_human_breast_cancer_seed3
Non-Contiguous Random,1,2,6,<=6,6,1,4.844408345028306e-06,6.6364,23.3121,3.51,50,1,0.0649,1,0.0671,1,0.0541,xenium_human_breast_cancer_seed3
Contiguous Random,2,2,4,<=6,5,1,2.9348461250133795e-06,5.5146,21.3679,3.87,50,1,0.1525,1,0.1107,1,0.0647,xenium_human_breast_cancer_seed3
Non-Contiguous Random,2,2,4,<=6,5,10,0.10252911576518675,5.2529,21.4939,4.09,50,1,0.1136,1,0.1119,1,0.056,xenium_human_breast_cancer_seed3
Contiguous Random,3,3,6,<=6,6,1,3.2802003487875098e-06,7.2803,23.4007,3.21,50,1,0.7778,1,0.6452,1,0.2907,xenium_human_breast_cancer_seed3
Non-Contiguous Random,3,3,6,<=6,6,2,0.008680946209054574,5.9825,23.305,3.9,50,1,0.0909,1,0.1379,1,0.0711,xenium_human_breast_cancer_seed3
Contiguous Random,4,0,14,<=6,4,1,2.1833896636791472e-06,3.379,19.6558,5.82,50,1,0.6667,1,0.1905,1,0.1004,xenium_human_breast_cancer_seed3
Non-Contiguous Random,4,0,14,<=6,4,1,-2.9956555366514315e-06,3.0095,19.7046,6.55,50,1,0.5,1,0.8,1,0.4583,xenium_human_breast_cancer_seed3
Contiguous Random,5,3,1,<=6,4,1,2.9595375061197693e-06,3.4513,18.6217,5.4,50,1,0.3333,1,0.25,1,0.2881,xenium_human_breast_cancer_seed3
Non-Contiguous Random,5,3,1,<=6,4,1,-4.492568970171362e-07,4.0597,19.0279,4.69,50,1,1.0,1,1.0,1,0.5625,xenium_human_breast_cancer_seed3
Contiguous Random,6,2,7,<=6,5,1,4.517901245781886e-06,4.4074,21.3027,4.83,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed3
