query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,2,cross_modal_brca_v2x_seed2,19.0754,1609.3712,84.37,14.3309,14.3309,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,2,all_niche,global,3,165,156,2.28
1,3,cross_modal_brca_v2x_seed2,15.4121,1542.8865,100.11,13.9456,13.9456,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,2,all_niche,global,3,165,156,2.28
2,4,cross_modal_brca_v2x_seed2,13.6156,1631.5622,119.83,13.3635,13.3635,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,2,all_niche,global,3,165,156,2.28
3,5,cross_modal_brca_v2x_seed2,14.3721,1636.7571,113.88,15.2985,15.2985,1,1,1.0,1,1.0,1,1.0,1,0.6842,0,v2x,2,all_niche,global,3,165,156,2.28
4,10,cross_modal_brca_v2x_seed2,14.7022,1466.895,99.77,15.3502,15.3502,1,1,1.0,1,1.0,1,1.0,1,0.8333,1,v2x,2,all_niche,global,3,165,156,2.28
5,13,cross_modal_brca_v2x_seed2,15.2488,1574.9455,103.28,14.525,14.525,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,2,all_niche,global,3,165,156,2.28
6,15,cross_modal_brca_v2x_seed2,14.8809,1623.5139,109.1,14.5676,14.5676,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,2,all_niche,global,3,165,156,2.28
7,19,cross_modal_brca_v2x_seed2,15.1732,1595.5759,105.16,14.4995,14.4995,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,2,all_niche,global,3,165,156,2.28
8,23,cross_modal_brca_v2x_seed2,15.2445,1601.7103,105.07,14.3817,14.3817,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,2,all_niche,global,3,165,156,2.28
9,24,cross_modal_brca_v2x_seed2,12.8044,1635.4653,127.73,14.3569,14.3569,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,2,all_niche,global,3,165,156,2.28
