Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,1,21,<=6,4,139,0.14837535590171813,17.2339,108.0092,6.27,50,1,0.0067,1,0.0121,1,0.0065,xenium_human_brain_cancer_seed2
Non-Contiguous Random,0,1,21,<=6,4,4,0.0424083125591278,20.0349,107.5135,5.37,50,1,0.0811,1,0.0358,1,0.0095,xenium_human_brain_cancer_seed2
Contiguous Random,1,13,7,<=6,6,1,0.0,19.473,108.289,5.56,50,1,0.0249,1,0.0249,1,0.0249,xenium_human_brain_cancer_seed2
Non-Contiguous Random,1,13,7,<=6,6,1,0.0,22.7899,107.5853,4.72,50,1,0.0272,1,0.0272,1,0.0272,xenium_human_brain_cancer_seed2
Contiguous Random,2,13,13,<=6,6,1,3.2012080575238855e-06,21.0638,110.4326,5.24,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed2
Non-Contiguous Random,2,13,13,<=6,6,1,-6.819263952406729e-07,20.2964,115.1046,5.67,50,1,1.0,1,0.9375,1,0.9583,xenium_human_brain_cancer_seed2
Contiguous Random,3,10,2,<=6,6,1,0.0,23.4002,106.0132,4.53,50,1,0.0119,1,0.0119,1,0.0119,xenium_human_brain_cancer_seed2
Non-Contiguous Random,3,10,2,<=6,6,1,0.0,22.1224,105.8661,4.79,50,1,0.0119,1,0.0119,1,0.0119,xenium_human_brain_cancer_seed2
Contiguous Random,4,6,6,<=6,5,3,0.00473,20.4746,103.6124,5.06,50,1,0.1133,1,0.0801,1,0.0727,xenium_human_brain_cancer_seed2
Non-Contiguous Random,4,6,6,<=6,5,2,0.00334,18.8155,103.7266,5.51,50,1,0.3333,1,0.2613,1,0.1794,xenium_human_brain_cancer_seed2
Contiguous Random,5,6,9,<=6,4,1,0.0,16.8332,99.2801,5.9,50,1,0.2883,1,0.2056,1,0.1453,xenium_human_brain_cancer_seed2
Non-Contiguous Random,5,6,9,<=6,4,2,8.225489079952217e-05,15.2759,98.8828,6.47,50,1,0.4688,1,0.1786,1,0.1639,xenium_human_brain_cancer_seed2
Contiguous Random,6,3,16,<=6,6,4,0.08752485252070796,24.0609,120.5752,5.01,50,1,0.0972,1,0.0617,1,0.0323,xenium_human_brain_cancer_seed2
Non-Contiguous Random,6,3,16,<=6,6,1,2.7200893153445094e-06,24.865,122.4798,4.93,50,1,0.0897,1,0.0788,1,0.0277,xenium_human_brain_cancer_seed2
Contiguous Random,7,11,18,<=6,5,1,-1.4143660929111235e-06,20.281,118.2842,5.83,50,1,0.3333,1,0.0435,1,0.0389,xenium_human_brain_cancer_seed2
Non-Contiguous Random,7,11,18,<=6,5,102,0.24299002520446994,21.3884,123.0684,5.75,50,0,0.0,0,0.0,1,0.0155,xenium_human_brain_cancer_seed2
Contiguous Random,8,14,5,<=6,5,1,-1.4865030551784383e-06,17.5896,103.5972,5.89,50,1,1.0,1,1.0,1,0.92,xenium_human_brain_cancer_seed2
Non-Contiguous Random,8,14,5,<=6,5,1,0.0,19.49,103.444,5.31,50,1,0.0913,1,0.0864,1,0.0838,xenium_human_brain_cancer_seed2
Contiguous Random,9,9,16,<=6,4,89,0.22897718595504757,19.0902,105.924,5.55,50,0,0.0,0,0.0,1,0.0115,xenium_human_brain_cancer_seed2
Non-Contiguous Random,9,9,16,<=6,4,1317,0.6390082100725174,24.7863,107.5963,4.34,50,0,0.0,0,0.0,0,0.0,xenium_human_brain_cancer_seed2
Contiguous Random,10,9,2,<=6,5,1,0.0,18.5911,102.9156,5.54,50,1,0.0102,1,0.0102,1,0.0102,xenium_human_brain_cancer_seed2
Non-Contiguous Random,10,9,2,<=6,5,1,0.0,19.3032,102.5811,5.31,50,1,0.0105,1,0.0105,1,0.0105,xenium_human_brain_cancer_seed2
