x,y,is_target
5273.597973632813,154.58647384643555,False
2951.5478027343747,3604.4665039062497,False
7071.93525390625,1056.716534423828,False
719.029443359375,2050.9715576171875,False
6438.448266601562,3478.9207153320312,False
2365.398510742187,613.9348083496094,False
3428.791259765625,1799.3321289062499,False
2108.1218139648436,2980.1844604492185,False
1163.2782287597656,2897.4611572265626,False
5936.755688476563,3056.766015625,False
1043.5273193359374,4366.833081054688,False
1036.840625,5293.8917236328125,False
4724.532006835937,3903.4440429687497,False
353.3158020019531,886.1609008789062,False
1558.6952819824219,760.1780242919922,False
3755.700512695312,1621.1756774902344,False
865.9514556884766,3138.068017578125,False
4000.8827636718747,1705.679602050781,False
7398.639062499999,3334.9737548828125,False
7442.48212890625,3098.5548461914063,False
1964.706103515625,3478.525598144531,False
3841.3761962890626,2313.2457397460935,False
4321.789721679687,4899.933325195312,False
5805.138085937499,5369.236669921875,False
4441.852221679687,1659.637139892578,False
6053.163354492187,4211.29345703125,False
6470.345678710937,3354.14482421875,False
8.837442970275879,769.0190307617187,False
445.47003784179685,1632.4444030761717,False
1494.372735595703,1612.1663208007812,False
4287.145166015624,2932.524072265625,False
7108.710205078125,1833.1663208007812,False
3055.123083496094,986.6341796875,False
649.5332794189453,4845.131567382812,False
5292.326611328125,3453.016674804687,False
1984.7553955078124,1422.507373046875,False
7056.494140625,4015.3672119140624,False
6492.122778320312,1522.0549072265624,False
832.0189514160156,631.2384094238281,False
1276.5573303222657,2558.134350585937,False
3932.0497802734376,3957.46884765625,False
6650.171728515625,2590.186572265625,False
3760.7789306640625,1201.0990783691407,False
662.1654602050781,2926.959020996094,False
1184.6635314941407,1439.7506896972657,False
5458.167919921875,2454.0765869140623,False
1534.1283935546874,2348.0036010742188,False
6111.071679687499,339.7845687866211,False
1784.9169921875,1503.223028564453,False
2807.282507324219,2903.6,False
5831.1390380859375,4544.33408203125,False
1367.83427734375,3651.36923828125,False
5463.347192382812,1459.051043701172,False
33.052196693420406,1049.1231872558594,False
811.4460357666015,3125.589453125,False
1311.1165954589844,2578.5816650390625,False
5370.913012695312,2981.6873168945312,False
3661.246337890625,3561.4024658203125,False
492.3332916259765,1495.5197998046874,False
1389.9931091308592,3015.301123046875,False
1710.7148559570312,1124.209875488281,False
648.1386962890625,3865.11767578125,False
638.8546875,3057.230859375,False
6208.90634765625,4340.3062744140625,False
1179.3374389648436,2381.693359375,False
2129.8538818359375,1682.688720703125,False
4178.345166015625,3630.436328125,False
5215.11689453125,3615.904150390625,False
545.3465942382812,1453.090460205078,False
6467.488134765625,3318.3557983398437,False
4197.97568359375,3098.3045776367185,False
927.6873229980469,1964.157629394531,False
276.5106964111328,2165.9413208007813,False
2920.4441528320312,919.4094726562499,False
367.8068908691406,4549.00908203125,False
2188.8419311523435,689.9049072265625,False
3487.7230712890623,2042.4460327148438,False
431.1880249023437,5381.936450195312,False
5548.665112304688,1411.832568359375,False
1904.0423339843749,326.35906677246095,False
878.1557312011719,3866.9069091796873,False
1721.181414794922,2514.985852050781,False
4720.790429687499,3648.5158447265626,False
6461.079931640625,4139.216528320312,False
1516.865673828125,2589.062854003906,False
2993.1334716796873,3374.491284179687,False
5665.053686523437,3785.4447021484375,False
3489.826489257812,1656.1938720703124,False
2593.466833496094,230.6525115966797,False
1360.0396362304687,2701.871301269531,False
616.3716583251953,5227.220678710937,False
7430.281640624999,1330.4848083496092,False
6043.810864257813,4340.24443359375,False
1384.138671875,236.60666198730468,False
7089.08134765625,2162.7353515625,False
1164.4169921875,2706.5290771484374,False
7094.10498046875,952.3588012695312,False
550.3661804199219,290.31484374999997,False
4553.5823974609375,1853.7194702148438,False
5506.743676757812,3128.4171142578125,False
107.14919509887694,323.73319244384766,False
5098.973193359375,3866.373583984375,False
1690.869140625,1303.2758850097655,False
613.1404754638671,4245.734228515625,False
1076.9523864746093,998.5789001464843,False
1508.2807983398436,1581.6408203125,False
5722.760302734375,196.1778106689453,False
5182.723095703125,3459.0316284179685,False
6746.234594726562,4478.686938476562,False
542.8952697753906,4417.213427734375,False
6739.346606445312,2487.9950317382813,False
844.4096832275391,1100.5035705566406,False
6265.082299804687,4525.607104492187,False
900.1640075683594,1909.5227172851562,False
495.60016784667965,4911.082934570312,False
4888.903247070312,1891.247717285156,False
3014.6003295898436,1755.7897583007812,False
2590.785681152344,251.76464080810547,False
5477.382983398437,3565.0141357421876,False
6827.633715820312,53.40712928771973,False
3185.474194335937,3586.8202880859376,False
797.6988006591797,1586.8164611816405,False
1619.9925048828125,3621.2718505859375,False
3068.434423828125,3268.1057739257812,False
1068.5292724609374,1441.8062744140625,False
2724.909497070312,4067.3666259765623,False
891.237139892578,1715.5171691894532,False
5752.859350585937,3999.3662109375,False
7323.740283203125,1461.072283935547,False
54.73040351867676,979.3366516113281,False
6091.120751953124,4974.358129882812,False
777.2937683105469,3119.8708374023436,False
6949.832006835937,3098.9277587890624,False
6249.750341796875,1058.5630432128905,False
408.58344116210935,3969.993481445312,False
7105.463769531249,2032.0034423828124,False
6451.956958007812,2340.4056884765623,False
1292.5763854980469,956.5029663085937,False
2232.0456298828126,469.6717956542969,False
434.94290924072266,736.7062164306641,False
767.4427124023438,5134.310449218749,False
393.72288970947267,4343.917529296875,False
1338.0819946289062,3935.0770751953123,False
1001.8099792480468,2372.2350341796873,False
83.7611083984375,3270.161877441406,False
5300.126440429687,4017.32578125,False
119.87487640380859,2975.7667846679688,False
5872.3026123046875,410.5865234375,False
873.4847778320312,501.3747619628906,False
2602.439770507812,2150.7421752929686,False
7104.783105468749,2626.9150390625,False
5280.5108642578125,1381.923712158203,False
430.30858306884767,3995.236572265625,False
5935.034936523437,4351.19150390625,False
364.46766815185543,3945.081591796875,False
6282.06279296875,3988.0671875,False
2706.198291015625,2720.830285644531,False
1836.6215209960938,3013.4869873046873,False
4633.08935546875,4068.3104248046875,False
261.28553314208983,2210.8194946289063,False
2585.2870361328123,2767.280834960937,False
5190.039819335937,1648.7227539062499,False
502.4294799804687,1017.7694763183594,False
6505.348828125,4636.178076171875,False
6019.792138671874,4307.99921875,False
4204.090869140625,524.3679779052734,False
5196.268725585937,2411.666027832031,False
1138.1553955078125,2978.8322631835936,False
1456.9606994628905,5139.041064453125,False
7450.777099609375,5251.996435546875,False
1521.3242309570312,3190.399670410156,False
5760.6197509765625,625.7130462646484,False
1409.6106567382812,5091.105712890625,False
307.5636077880859,2742.5667114257812,False
3396.708325195312,4057.11806640625,False
6425.76591796875,4117.741162109375,False
826.57685546875,2076.7776489257812,False
893.7165832519531,628.3181427001953,False
1773.2226440429688,2656.668359375,False
2975.551586914062,1337.6878112792967,False
443.881787109375,3791.8313232421874,False
2301.668225097656,1423.7982482910156,False
220.881428527832,778.3034027099609,False
357.09400634765626,239.0587646484375,False
6505.935693359374,1140.592919921875,False
714.5383575439453,3689.908520507812,False
1095.1189575195312,645.669888305664,False
2839.074291992187,3058.5537963867187,False
2261.564038085937,2540.0726806640623,False
3836.030078125,2228.4372802734374,False
6444.1434326171875,3308.285498046875,False
4386.169335937499,4877.295434570312,False
2330.165844726562,494.0385833740234,False
3261.9932861328125,883.9516479492187,False
5500.86962890625,3904.4447021484375,False
1338.9706970214843,3189.5849487304686,False
3945.621142578125,2300.7458007812497,False
1622.8051208496092,321.33255462646486,False
884.3141845703125,609.8969970703125,False
2820.3498046874997,710.8908905029297,False
3226.1513427734376,2008.1507324218749,False
54.66466522216797,2394.230236816406,False
753.2632659912109,3832.836767578125,False
489.6860687255859,3348.5716796875,False
6259.367626953125,3623.6994140624997,False
6412.888916015625,4687.21875,False
6602.4712890625,987.8413208007812,False
261.934602355957,4815.392358398437,False
1173.5103942871094,3387.6764526367188,False
7475.554101562499,2398.6242553710936,False
2547.9548950195312,1787.6363281249999,False
195.90191345214842,2681.7861083984376,False
3155.923828125,1149.278857421875,False
3468.141320800781,1298.2560913085938,False
7141.0525390625,1959.7912109375,False
507.34240112304684,363.9662750244141,False
2391.5370483398438,450.5588836669922,False
5029.626391601562,267.530989074707,False
1146.8198547363281,425.3395278930664,False
2739.2227416992187,2144.9530029296875,False
438.2173858642578,3882.5480712890626,False
885.6674194335938,4506.290771484375,False
