x,y,pathway_score
847.259912109375,326.19136505126954,0.0
826.3419952392578,328.0318298339844,-0.16666666666666666
824.2284088134766,334.2526428222656,0.0
841.3575378417969,332.2425048828125,-0.125
828.7262390136718,341.71234741210935,-0.08333333333333333
847.6030975341797,344.511474609375,0.0
838.7647369384765,345.3067932128906,-0.4583333333333333
839.6842559814453,351.1778579711914,-0.125
845.6137115478515,356.9247741699219,-0.20833333333333334
848.8833892822265,366.05418090820314,-0.125
832.4333679199218,363.20382232666014,-0.16666666666666666
822.4166595458984,371.74836120605465,-0.08333333333333333
833.0459655761719,371.03221130371094,0.0
849.2151092529297,373.9600006103515,-0.041666666666666664
841.7119812011719,376.10266571044923,-0.125
832.7950225830078,379.91002655029297,0.0
842.0598358154297,384.0103530883789,0.0
835.6815155029296,384.9434906005859,0.5
825.2828674316406,411.02086181640624,-0.041666666666666664
831.9910400390625,414.52220916748047,-0.041666666666666664
824.8814208984375,418.10856170654296,-0.125
841.1359069824218,423.0457366943359,0.0
829.1963745117188,425.2877258300781,-0.041666666666666664
827.0109344482422,432.3544662475586,-0.2916666666666667
844.8365509033202,433.98582916259767,0.0
834.9296203613281,448.594400024414,-0.041666666666666664
825.5378570556641,448.82386474609376,0.0
835.4602478027343,461.1511993408203,-0.08333333333333333
827.2794128417969,463.3113220214844,-0.041666666666666664
828.4851531982422,475.0541778564453,-0.08333333333333333
845.95751953125,471.45392150878905,-0.25
829.8080902099609,480.94285583496094,-0.08333333333333333
845.4587463378906,484.5457061767578,-0.08333333333333333
825.577700805664,486.47548217773436,-0.041666666666666664
827.1292724609375,387.9896438598633,-0.041666666666666664
850.162954711914,383.8469573974609,-0.16666666666666666
827.7147888183594,398.7993362426758,0.0
827.4604736328125,393.4164611816406,0.0
837.3943298339843,401.55151214599607,-0.08333333333333333
848.9232330322266,399.35556640625,0.6666666666666667
833.5581756591797,423.41602935791013,-0.08333333333333333
823.6401947021484,404.95825653076173,0.0
847.0845581054688,411.61571655273434,-0.125
824.0362976074218,351.49160156249997,-0.125
817.4585510253906,6.099959206581116,-0.08333333333333333
828.9971038818359,148.56127395629883,-0.16666666666666666
849.884619140625,311.8711944580078,-0.2916666666666667
806.5243988037109,15.487790584564209,-0.20833333333333334
821.9301818847656,22.881351566314695,-0.08333333333333333
810.0349029541015,25.008611583709715,-0.08333333333333333
