Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,3,19,<=6,4,3,0.050927924509048456,21.2369,88.6901,4.18,50,1,0.2,1,0.2889,1,0.029,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,0,3,19,<=6,4,1,-2.8992509841785363e-06,25.2557,88.1706,3.49,50,1,0.16,1,0.1141,1,0.019,xenium_human_lymph_node_5k_seed4
Contiguous Random,1,0,34,<=6,4,5,0.037884132776260376,20.8256,88.3002,4.24,50,1,0.0833,1,0.0565,1,0.0178,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,1,0,34,<=6,4,1,-4.884490966805544e-06,19.5524,88.485,4.53,50,1,0.1111,1,0.0588,1,0.0292,xenium_human_lymph_node_5k_seed4
Contiguous Random,2,8,37,<=6,5,6,0.050204982254375974,23.0925,98.6671,4.27,50,1,0.1765,1,0.0506,1,0.0143,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,2,8,37,<=6,5,22,0.07185528109315006,20.6024,99.3131,4.82,50,1,0.0278,1,0.009,1,0.0068,xenium_human_lymph_node_5k_seed4
Contiguous Random,3,9,6,<=6,4,77,0.36698685073852544,16.4192,89.0005,5.42,50,0,0.0,0,0.0,0,0.0,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,3,9,6,<=6,4,1,1.8749523162941983e-06,17.5891,89.9177,5.11,50,1,1.0,1,0.2,1,0.0417,xenium_human_lymph_node_5k_seed4
Contiguous Random,4,8,41,<=6,6,3,0.033412434443611416,33.8045,111.5882,3.3,50,1,0.25,1,0.3333,1,0.051,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,4,8,41,<=6,6,1,-2.2672727175709895e-06,32.9388,111.1651,3.37,50,1,0.5,1,0.2045,1,0.029,xenium_human_lymph_node_5k_seed4
Contiguous Random,5,9,20,<=6,6,11,0.08709963715166369,27.7138,108.7615,3.92,50,0,0.0,1,0.0741,1,0.0165,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,5,9,20,<=6,6,12,0.1141933455225278,28.2965,110.7184,3.91,50,0,0.0,1,0.119,1,0.0144,xenium_human_lymph_node_5k_seed4
Contiguous Random,6,4,15,<=6,6,2,0.03828737406203442,29.9757,114.1606,3.81,50,1,0.087,1,0.0275,1,0.0094,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,6,4,15,<=6,6,2,0.013368094908060457,24.9187,111.7975,4.49,50,1,0.1875,1,0.0422,1,0.0127,xenium_human_lymph_node_5k_seed4
Contiguous Random,7,9,13,<=6,6,34,0.10924187474197447,27.8649,111.5645,4.0,50,0,0.0,1,0.0526,1,0.0129,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,7,9,13,<=6,6,24,0.07843510395614256,27.3475,109.3432,4.0,50,1,0.0556,1,0.0426,1,0.0128,xenium_human_lymph_node_5k_seed4
Contiguous Random,8,9,34,<=6,6,7,0.09117460183400833,31.5117,116.8684,3.71,50,1,0.125,1,0.0543,1,0.0097,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,8,9,34,<=6,6,3,0.04388394694720582,33.2056,109.6932,3.3,50,1,0.3684,1,0.0988,1,0.0107,xenium_human_lymph_node_5k_seed4
Contiguous Random,9,5,4,<=6,5,6,0.06041371552802244,27.1718,99.4946,3.66,50,1,0.125,1,0.2,1,0.0372,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,9,5,4,<=6,5,3,0.03803431176646349,25.6917,101.111,3.94,50,1,0.1429,1,0.0345,1,0.0265,xenium_human_lymph_node_5k_seed4
Contiguous Random,10,5,46,<=6,6,14,0.2815219532996224,20.9619,113.8881,5.43,50,0,0.0,0,0.0,0,0.0,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,10,5,46,<=6,6,182,0.34840017499349335,19.4147,106.4171,5.48,50,0,0.0,0,0.0,0,0.0,xenium_human_lymph_node_5k_seed4
Contiguous Random,11,7,21,<=6,4,38,0.08712938810825349,21.7696,89.7468,4.12,50,0,0.0,1,0.0222,1,0.0099,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,11,7,21,<=6,4,1,-2.5959730148295e-06,24.6092,90.0407,3.66,50,1,0.0926,1,0.0421,1,0.0116,xenium_human_lymph_node_5k_seed4
Contiguous Random,12,7,0,<=6,6,7,0.08427098618549111,30.9539,113.7642,3.68,50,1,0.1,1,0.0756,1,0.0129,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,12,7,0,<=6,6,1,3.549791288193216e-06,27.5749,102.682,3.72,50,1,1.0,1,1.0,1,0.9091,xenium_human_lymph_node_5k_seed4
Contiguous Random,13,8,10,<=6,5,19,0.07497503919551834,23.4422,100.3886,4.28,50,1,0.0667,1,0.0544,1,0.017,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,13,8,10,<=6,5,12,0.02334894817442776,25.5309,100.6573,3.94,50,1,0.0597,1,0.0523,1,0.0149,xenium_human_lymph_node_5k_seed4
Contiguous Random,14,9,46,<=6,4,4,0.048498372774124165,17.7594,94.4814,5.32,50,1,0.2222,1,0.1316,1,0.0501,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,14,9,46,<=6,4,3,0.02144083752632142,18.6841,89.9624,4.81,50,1,0.2,1,0.1087,1,0.0385,xenium_human_lymph_node_5k_seed4
Contiguous Random,15,2,27,<=6,6,20,0.059488513556439915,24.8294,110.1277,4.44,50,1,0.098,1,0.0486,1,0.0099,xenium_human_lymph_node_5k_seed4
Non-Contiguous Random,15,2,27,<=6,6,2,0.04550390102853574,26.3541,108.8392,4.13,50,1,0.1429,1,0.1316,1,0.0175,xenium_human_lymph_node_5k_seed4
