Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,0,2,<=6,4,1,-4.396093785762403e-06,1.7926,7.8074,4.36,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,0,0,2,<=6,4,1,-4.050598144456075e-06,1.8389,7.4725,4.06,50,1,1.0,1,1.0,1,0.3394,xenium_human_kidney_nondiseased_seed2
Contiguous Random,1,0,9,<=6,6,3,0.2505812359303353,2.0327,9.4493,4.65,50,0,0.0,1,0.1613,1,0.1814,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,1,0,9,<=6,6,2,0.05443055821194087,2.1718,9.0728,4.18,50,1,0.6667,1,0.2766,1,0.2044,xenium_human_kidney_nondiseased_seed2
Contiguous Random,2,0,18,<=6,4,10,0.22703705501556393,1.8007,7.9483,4.41,50,0,0.0,1,0.0769,1,0.0769,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,2,0,18,<=6,4,1,-1.7358779902387766e-07,3.0022,7.9194,2.64,50,1,1.0,1,0.9167,1,0.5114,xenium_human_kidney_nondiseased_seed2
Contiguous Random,3,0,16,<=6,6,7,0.14621990433504511,2.3107,9.091,3.93,50,1,0.1,1,0.1667,1,0.1754,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,3,0,16,<=6,6,16,0.33106345457945335,2.4461,9.0336,3.69,50,0,0.0,0,0.0,1,0.1194,xenium_human_kidney_nondiseased_seed2
Contiguous Random,4,0,13,<=6,5,6,0.1251211176031266,1.5995,8.5601,5.35,50,1,0.1875,1,0.1067,1,0.0853,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,4,0,13,<=6,5,11,0.12779721672392225,1.7277,8.56,4.95,50,1,0.2273,1,0.2209,1,0.1151,xenium_human_kidney_nondiseased_seed2
Contiguous Random,5,0,7,<=6,4,1,2.354106903079689e-06,1.7783,7.5978,4.27,50,1,1.0,1,1.0,1,0.9804,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,5,0,7,<=6,4,1,-3.341970443715425e-06,1.6667,7.5689,4.54,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed2
Contiguous Random,6,0,16,<=6,4,10,0.15992739216804502,1.3688,7.8757,5.75,50,0,0.0,1,0.1905,1,0.2016,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,6,0,16,<=6,4,1,2.00241088865738e-06,2.1678,7.8813,3.64,50,1,0.375,1,0.3143,1,0.1486,xenium_human_kidney_nondiseased_seed2
Contiguous Random,7,0,5,<=6,6,2,1.1331463164026285,2.3525,8.503,3.61,50,0,0.0,0,0.0,0,0.0,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,7,0,5,<=6,6,1,1.4885204788761541e-06,2.2547,8.6553,3.84,50,1,1.0,1,0.7407,1,0.4889,xenium_human_kidney_nondiseased_seed2
Contiguous Random,8,0,18,<=6,5,1,4.628094045222575e-06,2.6292,8.4562,3.22,50,1,0.5,1,0.6,1,0.3636,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,8,0,18,<=6,5,3,0.05093599934435028,1.8725,8.5461,4.56,50,1,0.1667,1,0.1351,1,0.1089,xenium_human_kidney_nondiseased_seed2
Contiguous Random,9,0,14,<=6,6,2,0.05872649561348409,1.9529,9.1485,4.68,50,1,0.1667,1,0.2,1,0.2812,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,9,0,14,<=6,6,1,4.346400913179949e-06,2.0598,9.0953,4.42,50,1,0.2143,1,0.1584,1,0.0969,xenium_human_kidney_nondiseased_seed2
Contiguous Random,10,0,15,<=6,5,2,0.05454050365397045,1.6427,8.4571,5.15,50,1,0.5,1,0.1429,1,0.1243,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,10,0,15,<=6,5,8,0.6358318409290695,2.2465,8.3845,3.73,50,0,0.0,0,0.0,1,0.1509,xenium_human_kidney_nondiseased_seed2
Contiguous Random,11,0,8,<=6,6,1,1.6104907515357425e-06,1.8446,8.6561,4.69,50,1,1.0,1,0.9545,1,0.9744,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,11,0,8,<=6,6,1,-2.9914832887500964e-06,1.9818,8.6276,4.35,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed2
Contiguous Random,12,0,16,<=6,6,1,-4.509602903490784e-06,3.1635,9.0746,2.87,50,1,1.0,1,1.0,1,0.1493,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,12,0,16,<=6,6,1,8.586267052912433e-08,2.9453,9.137,3.1,50,1,1.0,1,0.3333,1,0.2697,xenium_human_kidney_nondiseased_seed2
Contiguous Random,13,0,18,<=6,6,1,2.075794164335676e-06,1.9103,9.1872,4.81,50,1,0.25,1,0.375,1,0.151,xenium_human_kidney_nondiseased_seed2
Non-Contiguous Random,13,0,18,<=6,6,1,-1.7840515629252707e-06,1.9625,9.0567,4.61,50,1,0.6667,1,0.5455,1,0.6667,xenium_human_kidney_nondiseased_seed2
