# Panel C -- Partial-Query Efficiency: Distance Gap & Speedup vs. Gene Panel Length
# 
# Dual-axis chart: mean distance gap from the true exact-match (lower = more
# accurate) and mean speedup over brute-force search, as a function of how many
# genes the query panel contains. Companion to Panel E (which shows Recall@1 /
# Overlap@10 for the same gene-count bins) -- this panel shows two different,
# previously-unplotted metrics (dist_gap, speedup) rather than repeating Panel E.
# 
# Columns:
#   length_bin                -- Gene-count bin (<=6 / 7-12 / 13-16 / >16 genes)
#   mean_dist_gap              -- Mean distance from SPINDLE top-1 to the true
#                                  exact-match distance (lower is better)
#   mean_speedup               -- Mean wall-clock speedup vs. brute-force (x)
#   mean_spindle_time_ms       -- Mean SPINDLE query time (ms)
#   mean_brute_force_time_ms   -- Mean brute-force query time (ms)
#   n_queries                  -- Number of query instances averaged in this bin
# 
# Source CSV : results/partial_panel_search/overall_benchmark_metrics.csv
# Generated by: benchmarks/partial_panel_search.py
#
length_bin,mean_dist_gap,mean_speedup,mean_spindle_time_ms,mean_brute_force_time_ms,n_queries
<=6 genes,0.006229624426851934,4.159129511677283,8.869424840764331,38.39234458598727,471
7-12 genes,0.004130968199706718,3.5419424019607844,12.568812683823529,45.86033223039216,1632
13-16 genes,0.0035088852188159205,3.5507934990439773,16.38625066921606,59.17944770554493,1046
>16 genes,0.002787581234696039,4.126780258519389,19.93840235017626,84.18867179788484,851
