# Panel E -- Visium Spot Coordinates
# 
# Scatter-plot background layer: spatial (x, y) coordinates of Visium spots from
# the matched human breast-cancer tissue section.
# 
# Columns:
#   x -- Spatial x-coordinate of the Visium spot centroid
#   y -- Spatial y-coordinate of the Visium spot centroid
# 
# Source CSV : results/cross_modal_search/spatial_coords_sample.csv (Visium rows)
# Generated by: benchmarks/cross_modal_search.py
#
x,y
5204.507277013796,2485.2119461782577
1112.6627259955976,1230.1552934546444
2982.907799257907,2568.1480196016064
2708.969059160924,643.1528778818442
4604.764227732887,2683.3734737657487
2222.553429646031,2508.2564373922005
3472.26804188042,4836.787381760426
874.6357412680336,4318.026124947819
2264.128253140053,923.5030561246516
1526.0815118226765,5525.400870540486
2674.552614818478,1083.900272314528
1756.9501173986655,3581.5360258821765
1557.5035320164698,949.8051152118368
1254.5135617941114,961.2424620017488
3382.6975524895506,6511.764300486358
1098.6898305463046,2198.346632188964
2096.1496968979745,489.66020374772734
2293.2254922117536,5760.554381237042
2389.057778286945,4261.417016132174
821.8275807675118,2912.5396628086955
2231.7847449584906,6818.391632295833
4515.721552434894,4357.772767357768
4626.104359093291,1890.9718776114569
3170.174654125314,3528.379188094411
2720.5711645418014,2314.1248059665013
4241.782812337913,2432.7776256380066
4130.528328732781,6219.976775453638
2129.091933639256,1368.2305356780926
2205.657024514926,6115.635948466012
3914.1393292731545,422.1415622350482
5040.419727387623,4866.371914241372
5217.55868447532,2836.3134282864703
5267.443335294031,6880.988062765086
4567.034401908446,309.6458618512711
2099.1192155261106,4623.955845030298
2328.538519021452,3999.961446348432
3988.6774929342655,6488.889606906535
1418.6471203666088,5353.566307560698
2247.231848008948,4530.882567198465
666.9253375074732,2830.351012153378
5069.470957512999,2929.939425731699
1640.330419576464,5873.05008162082
2945.223982379791,6967.904221309192
2033.2596475640648,2867.367900782961
3319.7365886887983,2115.4354642861326
2159.6633803121213,4885.964134427434
3080.235396360071,6522.624022142357
2598.586252502528,3109.953767628155
1036.6963636796472,3256.208788768271
1974.742409992613,1286.0169795022584
2089.912805734168,314.37336974005984
4370.004615540992,1812.23549798402
824.7970993956478,7046.835304091265
359.1477782019556,1346.6310789591785
860.1101262053453,5286.242369202656
2119.9066272731216,3831.579154396524
4248.59732863563,2608.592273738552
1244.4067674402077,4743.883901562712
2362.9300578433813,3558.661332302354
3513.8428653744413,3252.0340004928785
4992.951875583654,4956.017826565843
4528.797865416936,4709.426969079375
593.8824848733339,2217.216335127512
4278.616055695101,6126.35077800841
5421.746849994349,189.7178053188577
856.2191195894393,2471.239548762617
4046.2272335716234,2616.0495354077057
2411.3193976351195,2149.72259913535
1309.738521309377,6501.04947094396
4524.90685880103,1894.4241486393369
5138.622803531232,728.0712823175268
1881.3269229321631,6919.474891410216
4854.049454987468,2586.2952052926403
1413.2819061495384,3857.881213483709
3394.8063685374973,1409.2275094284328
587.0679685756159,2041.401687026967
3700.213137774597,5532.110709441609
3802.307220534112,4208.812897957802
4185.70727930172,4986.299970773785
5453.214879134466,2387.6058636122725
4042.407141422559,6575.083248203125
5351.120796374951,3710.903675096079
2349.325930768462,3207.584755714658
752.6757347492785,5114.407806222868
3293.6088682452337,1412.6797804563123
1662.5671334041208,3760.802945010601
2506.5989640969174,650.6101395509986
4801.79401410034,1180.783837633
4509.484661271089,4182.4859333501
1903.5636367598208,4807.227754799997
4678.359799980421,3296.483245271097
824.1983708359276,273.3763959897192
2426.787604111385,6635.144628046651
765.7271422108006,5465.50928833108
1374.999360711703,1484.1785070897497
4328.454697567488,3397.541598864963
1054.2164028909892,6422.8409054094
5171.565040272514,1606.641614247893
4530.272073018101,3390.1092427163267
4108.22070043828,1558.1873788283974
4317.749174653864,406.7241303243791
4724.353444183225,4526.155059309676
4153.66162502769,2787.8840983874934
757.4633238324359,6609.565086206981
5324.993075931388,3008.147991266258
4602.393437664469,5322.536740584725
2516.3829990227714,4960.720428934114
2520.203091171836,1001.686716138694
1577.3694557757108,1476.721245420595
1127.23435000461,7035.422862821871
1269.0851858031256,6766.510031368977
2975.17179497242,3711.626192343593
4465.861807136701,313.6508524925457
1136.4196563707446,4572.074244103441
1515.3759889090525,2534.583401999902
2949.044074528855,3008.8705085137726
2862.397094819797,2044.6592549002096
2786.430732503847,4070.712750213837
1167.8876855108629,6769.962302396857
3759.2370860131177,339.9529115797309
997.5172357745596,2202.351622830238
2936.8892495345835,1337.9234859496328
1918.089251822508,3839.011510545161
672.2656462040259,4325.483386616973
4863.209855833085,122.39386696081463
1008.197853167666,5192.616371757426
712.9189817102788,4060.022826191957
3807.647529230665,5703.945272421396
2395.319574971268,4437.256569753235
4618.368354807804,3034.450050353445
2527.9851044036486,6631.692357018771
4859.389763684021,4081.427579756235
3188.5912758039085,5375.165764279613
2879.3395088972275,5210.763557448462
1788.4181465387835,5779.42408417559
4646.891770840302,1098.5951869776827
3134.8865328361326,5289.524842596416
