# Panel E -- Cross-Modal Retrieval Metrics
# 
# Bar chart showing Recall@1 and Overlap@10 per query direction in the
# Xenium <-> Visium cross-modal search experiment (human breast-cancer dataset).
# 
# Columns:
#   direction           -- Internal key ("x2v"=Xenium->Visium, "v2x"=Visium->Xenium)
#   direction_label     -- Human-readable label used on the chart axis
#   recall_at_1_pct    -- Recall@1 (%): top-1 result is the overlapping tile
#   overlap_at_5_pct   -- Mean Overlap@5 (%)
#   overlap_at_10_pct  -- Mean Overlap@10 (%)
#   overlap_at_20_pct  -- Mean Overlap@20 (%)
# 
# Source CSV : results/cross_modal_search/benchmark_summary.csv
# Generated by: benchmarks/cross_modal_search.py
#
direction,recall_at_1_pct,overlap_at_5_pct,overlap_at_10_pct,overlap_at_20_pct,direction_label
x2v,100.0,100.0,90.0,90.0,Xenium -> Visium
v2x,84.0,80.4,78.2,76.0,Visium -> Xenium
