Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,2,1,<=6,4,1,0.0,2.8863,8.9375,3.1,50,1,0.5,1,0.4189,1,0.3871,xenium_human_skin_melanoma_seed4
Non-Contiguous Random,0,2,1,<=6,4,1,0.0,2.698,8.4844,3.14,50,1,0.2841,1,0.2841,1,0.2841,xenium_human_skin_melanoma_seed4
Contiguous Random,1,0,8,<=6,4,1,-8.203506474124822e-08,2.6922,9.0208,3.35,50,1,0.6667,1,0.4286,1,0.3182,xenium_human_skin_melanoma_seed4
Non-Contiguous Random,1,0,8,<=6,4,1,-3.036665916444914e-06,2.9195,9.2306,3.16,50,1,1.0,1,0.4,1,0.2727,xenium_human_skin_melanoma_seed4
Contiguous Random,2,3,9,<=6,4,8,0.16314920070648198,3.094,9.5492,3.09,50,0,0.0,1,0.1351,1,0.129,xenium_human_skin_melanoma_seed4
Non-Contiguous Random,2,3,9,<=6,4,1,1.3378334045577311e-06,2.8489,9.2481,3.25,50,1,0.1,1,0.15,1,0.2102,xenium_human_skin_melanoma_seed4
Contiguous Random,3,1,10,<=6,5,21,0.29305636192214835,2.4083,10.137,4.21,50,0,0.0,1,0.0851,1,0.0987,xenium_human_skin_melanoma_seed4
Non-Contiguous Random,3,1,10,<=6,5,1,4.5553180019197725e-06,5.2092,10.1902,1.96,50,1,0.6176,1,0.3333,1,0.0942,xenium_human_skin_melanoma_seed4
Contiguous Random,4,1,4,<=6,4,1,4.187462925912128e-06,2.1989,8.6527,3.93,50,1,1.0,1,1.0,1,0.8409,xenium_human_skin_melanoma_seed4
Non-Contiguous Random,4,1,4,<=6,4,1,4.061355590820326e-06,3.4576,8.7633,2.53,50,1,1.0,1,0.8571,1,0.95,xenium_human_skin_melanoma_seed4
Contiguous Random,5,2,10,<=6,6,2,0.0006940029172948226,4.2521,11.363,2.67,50,1,0.1579,1,0.1228,1,0.1141,xenium_human_skin_melanoma_seed4
Non-Contiguous Random,5,2,10,<=6,6,12,0.10606664768593177,4.6294,11.4042,2.46,50,1,0.0769,1,0.1038,1,0.0689,xenium_human_skin_melanoma_seed4
Contiguous Random,6,3,3,<=6,4,1,-2.8549861907922747e-06,2.4241,8.7766,3.62,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed4
Non-Contiguous Random,6,3,3,<=6,4,5,0.14665937720775607,2.599,8.9446,3.44,50,1,0.2,1,0.25,1,0.3222,xenium_human_skin_melanoma_seed4
Contiguous Random,7,2,2,<=6,6,1,4.710241767680312e-06,3.2016,9.9161,3.1,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed4
