Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,0,5,<=6,4,1,3.4510564804191013e-06,3.0937,16.6562,5.38,50,1,0.5909,1,0.3906,1,0.2098,xenium_human_lung_cancer_seed2
Non-Contiguous Random,0,0,5,<=6,4,8,0.04840354496002197,3.0679,16.3147,5.32,50,1,0.125,1,0.1205,1,0.1829,xenium_human_lung_cancer_seed2
Contiguous Random,1,2,13,<=6,6,1,-2.5689191787692245e-06,4.4913,20.2877,4.52,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed2
Non-Contiguous Random,1,2,13,<=6,6,6,0.11698254850191847,5.8684,20.0025,3.41,50,1,0.3333,1,0.4615,1,0.2266,xenium_human_lung_cancer_seed2
Contiguous Random,2,0,2,<=6,6,1,-4.296331925408153e-06,3.7253,17.7437,4.76,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed2
Non-Contiguous Random,2,0,2,<=6,6,1,-1.6580855488612656e-06,4.2349,17.634,4.16,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed2
Contiguous Random,3,1,6,<=6,6,1,2.384798902077545e-06,3.7766,18.5148,4.9,50,1,1.0,1,1.0,1,0.9474,xenium_human_lung_cancer_seed2
Non-Contiguous Random,3,1,6,<=6,6,3,0.22103428171581918,3.7941,18.3823,4.84,50,0,0.0,1,0.6667,1,0.8448,xenium_human_lung_cancer_seed2
Contiguous Random,4,1,4,<=6,4,4,0.109303207321167,3.396,16.1227,4.75,50,1,0.1538,1,0.3429,1,0.3511,xenium_human_lung_cancer_seed2
Non-Contiguous Random,4,1,4,<=6,4,1,-1.5909385681078803e-06,3.1069,15.9413,5.13,50,1,0.8,1,0.7222,1,0.6667,xenium_human_lung_cancer_seed2
