Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,2,21,<=6,4,32,0.12788518090248108,3.1577,24.1004,7.63,50,1,0.0417,1,0.0342,1,0.0243,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,0,2,21,<=6,4,6,0.07332900914192197,5.99,23.1245,3.86,50,1,0.2083,1,0.0935,1,0.0283,xenium_human_pancreatic_cancer_seed3
Contiguous Random,1,3,0,<=6,5,1,0.0,5.0069,22.4044,4.47,50,1,0.0382,1,0.0382,1,0.0382,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,1,3,0,<=6,5,5,0.0070657122829358154,4.6303,22.1761,4.79,50,1,0.1724,1,0.1396,1,0.0796,xenium_human_pancreatic_cancer_seed3
Contiguous Random,2,1,2,<=6,6,1,0.0,5.8208,23.5731,4.05,50,1,0.0817,1,0.0817,1,0.0817,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,2,1,2,<=6,6,1,3.3908801475900432e-06,5.8608,22.8044,3.89,50,1,0.3629,1,0.3158,1,0.3012,xenium_human_pancreatic_cancer_seed3
Contiguous Random,3,1,22,<=6,6,10,0.056655013843670055,6.0434,27.1533,4.49,50,1,0.0769,1,0.0922,1,0.037,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,3,1,22,<=6,6,1,3.0721424302826428e-06,6.3579,26.6734,4.2,50,1,0.25,1,0.1905,1,0.0766,xenium_human_pancreatic_cancer_seed3
Contiguous Random,4,0,5,<=6,6,1,-1.1581790244439422e-06,4.6837,22.8792,4.88,50,1,0.4684,1,0.4674,1,0.495,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,4,0,5,<=6,6,1,1.193344274341701e-06,4.3915,22.8652,5.21,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed3
Contiguous Random,5,2,22,<=6,5,14,0.04768998537520025,6.8982,25.1134,3.64,50,1,0.0417,1,0.0574,1,0.035,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,5,2,22,<=6,5,11,0.08263964933032769,7.8616,25.1119,3.19,50,1,0.0667,1,0.113,1,0.0542,xenium_human_pancreatic_cancer_seed3
Contiguous Random,6,2,2,<=6,6,1,2.8279326796665227e-06,5.1505,22.2696,4.32,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,6,2,2,<=6,6,1,0.0,4.8493,22.1505,4.57,50,1,0.5625,1,0.4804,1,0.4587,xenium_human_pancreatic_cancer_seed3
Contiguous Random,7,3,6,<=6,5,1,2.416794654236387e-06,5.5125,22.561,4.09,50,1,0.2727,1,0.1818,1,0.1983,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,7,3,6,<=6,5,2,0.012388596290217185,4.9144,22.8999,4.66,50,1,0.375,1,0.2632,1,0.1811,xenium_human_pancreatic_cancer_seed3
Contiguous Random,8,2,20,<=6,6,68,0.18682365030898102,6.4264,26.7513,4.16,50,1,0.0133,1,0.0335,1,0.0351,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,8,2,20,<=6,6,29,0.11006004824772708,4.9633,26.7731,5.39,50,1,0.0485,1,0.0497,1,0.0341,xenium_human_pancreatic_cancer_seed3
Contiguous Random,9,2,23,<=6,5,2,0.013798931446592999,7.1409,24.7889,3.47,50,1,0.75,1,0.4545,1,0.4545,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,9,2,23,<=6,5,1,4.207145467005624e-06,5.5361,24.6904,4.46,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed3
Contiguous Random,10,2,15,<=6,5,1,3.7973913786792934e-06,7.4618,24.8759,3.33,50,1,0.6,1,0.1707,1,0.0404,xenium_human_pancreatic_cancer_seed3
Non-Contiguous Random,10,2,15,<=6,5,1,-1.6280970116522298e-06,8.6249,24.7752,2.87,50,1,0.3333,1,0.1687,1,0.0436,xenium_human_pancreatic_cancer_seed3
