Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,15,2,12,<=6,4,2,0.0731545341110229,2.6602,9.5285,3.58,50,1,0.5,1,0.4444,1,0.1402,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,15,2,12,<=6,4,2,0.014016820120811457,2.163,9.3708,4.33,50,1,0.5,1,0.4,1,0.4146,xenium_human_skin_melanoma_seed1
Contiguous Random,16,0,1,<=6,6,1,0.0,3.3492,9.6591,2.88,50,1,0.4762,1,0.4762,1,0.4762,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,16,0,1,<=6,6,1,0.0,3.2023,9.5123,2.97,50,1,0.4623,1,0.4623,1,0.4623,xenium_human_skin_melanoma_seed1
Contiguous Random,17,2,0,<=6,6,1,-3.2847714314110377e-06,2.8721,9.9054,3.45,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,17,2,0,<=6,6,1,1.3103922573698412e-06,3.6485,9.6808,2.65,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,18,1,15,<=6,4,2,0.028543054494857778,1.9892,9.4094,4.73,50,1,0.8,1,0.5455,1,0.2821,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,18,1,15,<=6,4,1,-4.741411209097102e-06,2.1335,9.3785,4.4,50,1,0.25,1,0.5333,1,0.2736,xenium_human_skin_melanoma_seed1
Contiguous Random,19,1,18,<=6,6,2,0.05363409741550673,3.0827,10.8775,3.53,50,1,0.5,1,0.6,1,0.7027,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,19,1,18,<=6,6,1,-2.6119461535856203e-06,3.004,10.7442,3.58,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,20,1,5,<=6,6,1,-1.077293322881978e-06,2.8529,10.3873,3.64,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,20,1,5,<=6,6,1,-3.566837733059991e-06,3.3893,10.2662,3.03,50,1,1.0,1,0.8,1,0.7857,xenium_human_skin_melanoma_seed1
Contiguous Random,21,2,13,<=6,5,1,4.678053233675428e-06,3.2752,10.0701,3.07,50,1,0.6667,1,0.8333,1,0.8125,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,21,2,13,<=6,5,44,0.3521786383441232,3.4579,10.0349,2.9,50,0,0.0,0,0.0,1,0.0549,xenium_human_skin_melanoma_seed1
Contiguous Random,22,1,6,<=6,5,2,0.02050960817201214,2.5103,9.9297,3.96,50,1,0.5455,1,0.6296,1,0.4,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,22,1,6,<=6,5,1,4.066756884080203e-06,2.6992,9.7305,3.6,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,23,2,2,<=6,6,1,-4.006768149655837e-06,3.7969,10.091,2.66,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,23,2,2,<=6,6,1,4.531163254828385e-06,3.1245,9.9461,3.18,50,1,1.0,1,1.0,1,0.96,xenium_human_skin_melanoma_seed1
Contiguous Random,24,0,11,<=6,6,1,-3.5343938824539123e-06,3.549,10.9493,3.09,50,1,1.0,1,1.0,1,0.963,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,24,0,11,<=6,6,1,1.8244093079600177e-06,4.0985,10.8274,2.64,50,1,0.5,1,0.5333,1,0.2211,xenium_human_skin_melanoma_seed1
Contiguous Random,25,2,14,<=6,6,2,0.012379250016232302,2.9994,10.5732,3.53,50,1,0.625,1,0.3913,1,0.4943,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,25,2,14,<=6,6,2,0.009595371098391758,4.2091,10.4207,2.48,50,1,0.375,1,0.5357,1,0.5506,xenium_human_skin_melanoma_seed1
Contiguous Random,26,0,15,<=6,5,35,0.15881733081686478,2.8193,10.2262,3.63,50,0,0.0,1,0.086,1,0.1073,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,26,0,15,<=6,5,6,0.13177963648429253,3.9494,10.1418,2.57,50,1,0.125,1,0.1026,1,0.0909,xenium_human_skin_melanoma_seed1
Contiguous Random,27,0,4,<=6,5,1,2.7313309718269424e-06,3.0802,9.3749,3.04,50,1,0.9333,1,0.9565,1,0.9565,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,27,0,4,<=6,5,1,0.0,3.8323,9.4848,2.47,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
