Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,0,11,<=6,4,1,4.1274547576963805e-07,4.8755,24.1078,4.94,50,1,0.75,1,0.5,1,0.4487,xenium_human_pancreatic_cancer_seed2
Non-Contiguous Random,0,0,11,<=6,4,2,0.1056281718158722,4.641,23.1858,5.0,50,1,0.5,1,0.3333,1,0.1839,xenium_human_pancreatic_cancer_seed2
Contiguous Random,1,3,23,<=6,6,2,0.010250420837988994,7.482,30.7102,4.1,50,1,0.1304,1,0.0739,1,0.0466,xenium_human_pancreatic_cancer_seed2
Non-Contiguous Random,1,3,23,<=6,6,3,0.06706645884320914,6.3751,29.6293,4.65,50,1,0.4667,1,0.2976,1,0.1984,xenium_human_pancreatic_cancer_seed2
Contiguous Random,2,0,4,<=6,6,1,0.0,5.7433,24.0363,4.19,50,1,0.3486,1,0.3507,1,0.3597,xenium_human_pancreatic_cancer_seed2
Non-Contiguous Random,2,0,4,<=6,6,1,0.0,4.7758,23.5684,4.93,50,1,0.1742,1,0.1742,1,0.1742,xenium_human_pancreatic_cancer_seed2
Contiguous Random,3,1,22,<=6,6,2,0.029450457534067165,9.4172,27.4623,2.92,50,1,0.0746,1,0.0625,1,0.0357,xenium_human_pancreatic_cancer_seed2
Non-Contiguous Random,3,1,22,<=6,6,2,0.035010265522636114,6.4918,27.2457,4.2,50,1,0.35,1,0.2989,1,0.2379,xenium_human_pancreatic_cancer_seed2
Contiguous Random,4,1,18,<=6,4,4,0.010239794731140117,5.2914,23.5609,4.45,50,1,0.069,1,0.0745,1,0.0504,xenium_human_pancreatic_cancer_seed2
Non-Contiguous Random,4,1,18,<=6,4,2,0.05958319365501402,3.9775,23.5373,5.92,50,1,0.5,1,0.3333,1,0.1036,xenium_human_pancreatic_cancer_seed2
