Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,0,13,<=6,5,2,0.04119364048739449,2.0167,8.8195,4.37,50,1,0.2,1,0.1806,1,0.1713,xenium_human_kidney_nondiseased_seed0
Non-Contiguous Random,0,0,13,<=6,5,1,3.2268361290221925e-06,2.9779,8.5025,2.86,50,1,0.0909,1,0.1928,1,0.0974,xenium_human_kidney_nondiseased_seed0
Contiguous Random,1,0,6,<=6,5,1,-4.367927108811509e-06,2.3766,8.2537,3.47,50,1,0.7778,1,0.4524,1,0.368,xenium_human_kidney_nondiseased_seed0
Non-Contiguous Random,1,0,6,<=6,5,1,-3.56546275812053e-06,1.7785,8.2255,4.63,50,1,0.8462,1,0.8182,1,0.6712,xenium_human_kidney_nondiseased_seed0
Contiguous Random,2,0,17,<=6,5,6,0.15826345384504842,1.8658,8.5253,4.57,50,0,0.0,1,0.1,1,0.1622,xenium_human_kidney_nondiseased_seed0
Non-Contiguous Random,2,0,17,<=6,5,2,0.028357053814988875,1.8817,8.3325,4.43,50,1,0.6,1,0.625,1,0.5918,xenium_human_kidney_nondiseased_seed0
Contiguous Random,3,0,2,<=6,6,1,4.085752562534017e-06,1.8222,8.129,4.46,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed0
Non-Contiguous Random,3,0,2,<=6,6,1,-1.8393454668547832e-06,1.7993,7.8577,4.37,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed0
Contiguous Random,4,0,13,<=6,5,1,-4.443699120948441e-06,2.8537,8.4608,2.96,50,1,1.0,1,0.95,1,0.9149,xenium_human_kidney_nondiseased_seed0
Non-Contiguous Random,4,0,13,<=6,5,19,0.16374519567048884,1.6448,8.4452,5.13,50,1,0.1304,1,0.1373,1,0.0918,xenium_human_kidney_nondiseased_seed0
Contiguous Random,5,0,17,<=6,4,1,-2.1891021728670523e-06,1.4929,7.6063,5.09,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed0
